epoch,train_loss,val_loss,train_delta,val_delta,train_acc,val_acc,train_auc,val_auc,predictor_lr
1,2.185424647547982,2.157240575551987,0.0,0.0,0.15740699586648296,0.27129148340663733,0.5857032772465561,0.76070951718163,3.9999999999999996e-05
2,2.1372621194882826,2.100899136066437,-0.04816252805969956,-0.05634143948554993,0.27862349437752787,0.3156737305077969,0.7510145907714971,0.8573447675410703,6.999999999999993e-05
3,2.0675830962983044,2.027766078710556,-0.0696790231899782,-0.07313305735588083,0.3580936930530246,0.43632546981207515,0.8136258255335416,0.8901731462584872,0.0001
4,1.9880911894142628,1.9554652482271195,-0.07949190688404162,-0.0723008304834365,0.42429663540601803,0.4752099160335866,0.8356685056027403,0.9015167643082991,9.997404066775285e-05
5,1.9176783639598975,1.8936009287834168,-0.07041282545436522,-0.06186431944370274,0.44780879150184455,0.5143942423030787,0.8474776171359681,0.9081578514769019,9.989618989876661e-05
6,1.8570179861377587,1.8390999853610992,-0.060660377822138845,-0.054500943422317594,0.4696319836437175,0.5348860455817673,0.8563416840293754,0.9137064796520169,9.976652934774728e-05
7,1.8035066879608415,1.7914801031351089,-0.053511298176917244,-0.04761988222599034,0.48771056491399617,0.5459816073570571,0.8641090692367372,0.918261437006673,9.958519501070808e-05
8,1.7580845735289834,1.7498672962188722,-0.04542211443185806,-0.0416128069162367,0.5041557402551224,0.549780087964814,0.8707544951229208,0.9219328182225853,9.935237708232756e-05
9,1.717691838063977,1.711948063969612,-0.040392735465006435,-0.03791923224926008,0.5141006266945197,0.5573770491803278,0.875519642421385,0.925107939828686,9.906831975646277e-05
10,1.682305205274712,1.6787607967853546,-0.035386632789264905,-0.03318726718425746,0.5293679719098626,0.5590763694522191,0.8796375297017586,0.9279726795246417,9.873332097002275e-05
11,1.6519860222258351,1.6482856512069701,-0.03031918304887693,-0.030475145578384488,0.5387017200764478,0.566673330667733,0.8830882462988874,0.9305184905868062,9.834773209047419e-05
12,1.6256002448499203,1.6199944853782653,-0.026385777375914854,-0.028291165828704834,0.5480465798479932,0.5748700519792083,0.886224949322808,0.9328428790589339,9.791195754730533e-05
13,1.5977672616189176,1.5945455104112625,-0.027832983231002695,-0.025448974967002824,0.5588470598693275,0.579468212714914,0.8902237547428223,0.9349315230401347,9.74264544078354e-05
14,1.5736523985185407,1.571535935997963,-0.024114863100376915,-0.023009574413299427,0.5680585803813503,0.5836665333866453,0.893250052881136,0.9366817172057096,9.689173189781402e-05
15,1.5533742566000333,1.549952781200409,-0.02027814191850741,-0.021583154797554016,0.5729587981688075,0.5873650539784087,0.8956832067708349,0.9383860600061897,9.630835086731391e-05
16,1.5340259471400217,1.5304738491773606,-0.019348309460011537,-0.0194789320230484,0.5792590781812526,0.5913634546181528,0.8984498515666147,0.9396960076784624,9.567692320247625e-05
17,1.5166473798453808,1.5114831030368805,-0.017378567294640934,-0.01899074614048013,0.5853704609093737,0.6009596161535385,0.9005361978173908,0.9409954066049324,9.4998111183727e-05
18,1.5028159174729476,1.494308340549469,-0.013831462372433156,-0.017174762487411455,0.5925263345037557,0.6040583766493403,0.9013740672927012,0.9422083511744401,9.427262679113594e-05
19,1.4882386668839238,1.4777373135089875,-0.014577250589023816,-0.016571027040481523,0.596170940930708,0.6108556577369052,0.9040055742819375,0.9432272481256037,9.350123095764832e-05
20,1.4714759124273604,1.461564752459526,-0.01676275445656339,-0.01617256104946141,0.6035934930441353,0.6171531387445022,0.9065800745286029,0.9445111071853416,9.268473277097031e-05
21,1.4633516611700708,1.4475753396749496,-0.00812425125728966,-0.01398941278457655,0.606449175518912,0.6254498200719713,0.9068100322509723,0.9454319498225358,9.18239886249488e-05
22,1.449232165786353,1.4328583508729935,-0.014119495383717817,-0.014716988801956044,0.6117160762700564,0.6300479808076769,0.909070024997436,0.9464140102403449,9.09199013213318e-05
23,1.4388402893461965,1.42099589407444,-0.010391876440156489,-0.011862456798553467,0.6171607627005645,0.6356457417033187,0.910554045199625,0.9471101700745227,8.997341912285438e-05
24,1.4271511127325622,1.409455445408821,-0.011689176613634222,-0.011540448665618985,0.6199719987555002,0.6356457417033187,0.9124450741336637,0.9478611236072143,8.898553475864235e-05
25,1.4180032055486331,1.396591630578041,-0.009147907183929105,-0.01286381483078003,0.6252166762967243,0.6429428228708517,0.9135126126207178,0.9487128536695995,8.795728438297576e-05
26,1.4103081541305238,1.3856839448213578,-0.007695051418109333,-0.010907685756683216,0.6277834570425352,0.6472411035585766,0.9144909965037333,0.9495541978456187,8.688974648850607e-05
27,1.4037835269489072,1.3757920205593108,-0.006524627181616616,-0.009891924262046992,0.6268611938308369,0.6510395841663335,0.9153662129743876,0.9501605283180999,8.578404077506775e-05
28,1.3967492871663787,1.3659676432609558,-0.007034239782528484,-0.009824377298355058,0.6325614471754301,0.653938424630148,0.9159716115986859,0.9508727583176734,8.464132697526578e-05
