epoch,train_loss,val_loss,test_loss,train_delta,val_delta,test_delta,current_lr,val_acc,test_acc,val_auc,test_auc
29,1.0570466561581602,1.0349946859516674,1.0864178088673375,-0.016938635910099142,-0.017037989972513046,-0.01702018997125454,1.2661406575081629e-05,0.9302279088364654,0.884958217270195,0.9917915667393342,0.9870252521270962
30,1.0416120294142852,1.0187530328955832,1.0704995142786127,-0.015434626743874968,-0.01624165305608427,-0.015918294588724846,1.2489857537417819e-05,0.9320271891243502,0.8856545961002785,0.9921618655958004,0.9875258691360703
31,1.0269361691210757,1.0035236153421523,1.0555969528984606,-0.014675860293209553,-0.01522941755343088,-0.014902561380152113,1.2313599259206316e-05,0.9328268692522991,0.8870473537604456,0.9924982332547407,0.9879234672843966
32,1.0119378757239743,0.9889646044260338,1.0414182721522816,-0.014998293397101348,-0.014559010916118442,-0.014178680746179007,1.2132816611041276e-05,0.9347261095561775,0.8881615598885794,0.9928214076534504,0.9882784117815903
33,0.9995104358108207,0.9753252267837524,1.0281430639718707,-0.012427439913153648,-0.013639377642281403,-0.013275208180410836,1.1947699208956182e-05,0.9364254298280688,0.88983286908078,0.9931107760822601,0.9885430365773575
34,0.9861395195634528,0.9623439508148387,1.015460729598999,-0.013370916247367859,-0.012981275968913741,-0.012682334372871695,1.1758441215542717e-05,0.937624950019992,0.89025069637883,0.9933789742371424,0.9888153848424602
35,0.9741868822073395,0.9500778966312167,1.0037268985781753,-0.011952637356113294,-0.012266054183622033,-0.011733831020823704,1.1565241136301213e-05,0.9384246301479409,0.8906685236768802,0.993634457256014,0.9890165943692134
36,0.963568155569109,0.9383467224579823,0.9927139470451757,-0.010618726638230491,-0.011731174173234327,-0.011012951532999637,1.1368301611435487e-05,0.9390243902439024,0.8916434540389973,0.9938751983605449,0.989170600160971
37,0.9522845942357724,0.9272527438175829,0.9822163822358114,-0.011283561333336634,-0.011093978640399405,-0.010497564809364257,1.1167829203311613e-05,0.9400239904038384,0.8922005571030641,0.9940981501659218,0.9893314540115221
38,0.9420891929079186,0.9168830378146111,0.9724123111942358,-0.010195401327853792,-0.010369706002971824,-0.009804071041575657,1.0964034179802254e-05,0.9418232706917233,0.8922005571030641,0.9943079171237876,0.9894470802371799
39,0.9325742354108528,0.9068716666366481,0.9631439510144686,-0.009514957497065768,-0.010011371177963024,-0.009268360179767177,1.0757130293744847e-05,0.9429228308676529,0.8926183844011142,0.9945032723987031,0.9895569294912021
40,0.9234072471206839,0.8974552765677247,0.9541197565563938,-0.009166988290168931,-0.009416390068923364,-0.009024194458074786,1.0547334558744262e-05,0.9436225509796081,0.8927576601671309,0.9946782821239368,0.9896568338670559
41,0.9151526185768571,0.8885775253742556,0.9457386407935828,-0.008254628543826747,-0.008877751193469119,-0.008381115762810976,1.0334867021555584e-05,0.9445221911235506,0.8941504178272981,0.9948446671554867,0.9897441884462059
42,0.9066687626764178,0.880181878427916,0.9379982780991939,-0.008483855900439319,-0.008395646946339652,-0.007740362694388936,1.0119950531285508e-05,0.9450219912035186,0.895125348189415,0.9950026840247725,0.9898051720283626
43,0.8980881848626516,0.872174871873252,0.9306403032520361,-0.0085805778137662,-0.008007006554663909,-0.007357974847157833,9.902810505654236e-06,0.9460215913634547,0.8955431754874652,0.9951487397061458,0.989871513085459
44,0.8916492493484508,0.8645735232135917,0.9235674278777942,-0.0064389355142008275,-0.007601348659660334,-0.007072875374241838,9.683674694563633e-06,0.9463214714114354,0.8963788300835654,0.9952857396042825,0.9899293951224237
45,0.8843919772824104,0.85738009440748,0.9170261391422205,-0.007257272066040432,-0.007193428806111735,-0.0065412887355736915,9.462772941218778e-06,0.9470211915233906,0.8974930362116992,0.9954176057542193,0.9899719568331068
46,0.8780386225235733,0.8505475219291977,0.9107443522988704,-0.0063533547588370265,-0.006832572478282284,-0.006281786843350123,9.240336941054425e-06,0.9478208716513394,0.8983286908077994,0.9955370858921069,0.9900227073874353
47,0.8711883664469827,0.8440447140343582,0.9051051850904498,-0.006850256076590622,-0.00650280789483948,-0.005639167208420615,9.01659999871827e-06,0.9486205517792883,0.899025069637883,0.9956566212178648,0.9900605894522196
48,0.8659810615195469,0.8378502364400067,0.8994333503539103,-0.0052073049274358185,-0.006194477594351544,-0.005671834736539538,8.791796783366844e-06,0.9490203918432627,0.8997214484679665,0.9957659924100669,0.990111509115364
49,0.8607785069299015,0.8320871772645395,0.8943285178719905,-0.0052025545896453584,-0.005763059175467156,-0.00510483248191973,8.566163082529784e-06,0.9497201119552179,0.9005571030640669,0.9958707720770597,0.9901212229874575
50,0.8552089067683979,0.8266337098954599,0.8894542769381875,-0.005569600161503652,-0.00545346736907959,-0.0048742409338030646,8.339935554801388e-06,0.950219912035186,0.9012534818941504,0.9959657524292083,0.9901722539509047
51,0.8504678973589431,0.8213667160348047,0.8847999510012174,-0.004741009409454766,-0.005266993860655211,-0.004654325936970016,8.113351481618065e-06,0.9507197121151539,0.9016713091922005,0.9960611922629542,0.9901881448367802
52,0.8469606838612393,0.8164851974837387,0.8805091339245177,-0.003507213497703776,-0.004881518551066,-0.00429081707669976,7.88664851838331e-06,0.9510195921631347,0.901949860724234,0.9961470341319205,0.9902197338393022
53,0.8410298555920069,0.8118241210527057,0.8761981025076749,-0.005930828269232413,-0.004661076431032973,-0.004311031416842748,7.660064445199978e-06,0.9516193522590963,0.9023676880222842,0.9962283703026242,0.9902607471099587
54,0.837499131702564,0.8074531713618508,0.8723302086194357,-0.003530723889442977,-0.004370949690854942,-0.003867893888239271,7.433836917471285e-06,0.9526189524190324,0.9033426183844011,0.9963048064245685,0.990283517636577
55,0.832737132568251,0.803282696235029,0.8687110658277545,-0.004761999134312966,-0.004170475126821782,-0.0036191427916811847,7.208203216634077e-06,0.9535185925629748,0.903899721448468,0.9963780605549092,0.9902848947307733
56,0.8297665020958944,0.7993068687523468,0.8653263648351034,-0.0029706304723565724,-0.003975827482682215,-0.0033847009926510907,6.9834000012826e-06,0.953718512594962,0.9045961002785515,0.9964474202747281,0.9903058110392366
57,0.8258748768236149,0.7956232006036783,0.8620994687080383,-0.0038916252722794864,-0.0036836681486684952,-0.00322689612706506,6.759663058946437e-06,0.9540183926429429,0.9048746518105849,0.9965119980664338,0.9903330591455516
58,0.8225640616464344,0.7920455894892728,0.8590275645256042,-0.0033108151771805705,-0.0035776111144054656,-0.003071904182434082,6.537227058782034e-06,0.9546181527389045,0.9051532033426184,0.9965745677382503,0.99035335115502
59,0.8193907089192759,0.7887391063231456,0.856313287166127,-0.0031733527271584627,-0.00330648316612725,-0.0027142773594772684,6.316325305437154e-06,0.955217912834866,0.9051532033426184,0.9966340662398268,0.990368392395015
60,0.8165523160079663,0.7856116664560535,0.853666575331437,-0.0028383929113096062,-0.0031274398670920744,-0.0026467118346900076,6.0971894943464924e-06,0.9554178328668532,0.9057103064066853,0.9966913481502796,0.9903720791773151
61,0.8128918095237829,0.7826474595673477,0.8512068683640999,-0.003660506484183368,-0.0029642068887058004,-0.0024597069673371053,5.880049468715201e-06,0.9554178328668532,0.905849582172702,0.9967423083794054,0.9903836058879839
62,0.8105306194417856,0.779815089853504,0.8488528320663854,-0.002361190081997311,-0.0028323697138437076,-0.002354036297714468,5.665132978445078e-06,0.9558176729308276,0.9065459610027855,0.9967907681472179,0.9903925662557219
63,0.8080903237516229,0.7771107969404776,0.8466237511551171,-0.002440295690162686,-0.0027042929130264293,-0.0022290809112682775,5.452665441256378e-06,0.9563174730107957,0.9066852367688022,0.9968392488771796,0.9904033168751316
64,0.8060874363238161,0.774618793891955,0.8444819084384985,-0.0020028874278068542,-0.0024920030485225952,-0.002141842716618658,5.2428697062557305e-06,0.9565173930427829,0.9071030640668524,0.9968824068677551,0.9904219483332558
65,0.8037348880686543,0.7722421454477914,0.8424816393015677,-0.002352548255161735,-0.0023766484441636315,-0.0020002691369307435,5.035965820198275e-06,0.9566173530587765,0.9077994428969359,0.9969226077917348,0.9904331636315327
66,0.8010914914987304,0.770010016387022,0.8406769434611002,-0.0026433965699239614,-0.0022321290607693056,-0.0018046958404674962,4.83217079668889e-06,0.9569172331067572,0.9084958217270195,0.9969615676249445,0.9904363600784519
67,0.7988180243833498,0.767930615551864,0.8389314611752828,-0.0022734671153805674,-0.0020794008351580073,-0.0017454822858173902,4.6316983885651325e-06,0.9573170731707317,0.9090529247910863,0.9969975350259692,0.9904472731722626
68,0.7977266964417967,0.7659501342833797,0.8372874573657387,-0.0010913279415530885,-0.0019804812684843798,-0.0016440038095441034,4.43475886369952e-06,0.9575169932027189,0.9093314763231197,0.9970311117613575,0.9904533115758866
69,0.7958164769648151,0.7641345654861836,0.8358082541248255,-0.0019102194769816672,-0.001815568797196021,-0.0014792032409132183,4.2415587844580625e-06,0.9576169532187125,0.9098885793871866,0.9970637104413907,0.9904575344555037
70,0.7934378233992241,0.7623971127256562,0.8344026866712069,-0.0023786535655909713,-0.0017374527605273915,-0.001405567453618639,4.052300791044693e-06,0.9578168732506998,0.9104456824512535,0.9970928249871093,0.9904673312378561
71,0.7926496272398666,0.7608189054682285,0.8330196110825789,-0.0007881961593574349,-0.001578207257427744,-0.0013830755886279356,3.867183388959659e-06,0.958016793282687,0.911142061281337,0.997119735112435,0.9904742244948582
72,0.7914268828251145,0.7592984007883675,0.8317242641198007,-0.0012227444147521194,-0.001520504679860979,-0.001295346962778221,3.6864007407947004e-06,0.9582167133146742,0.9116991643454039,0.9971455335714585,0.9904793965712521
73,0.7902797706086527,0.7578894028180763,0.8305898810687818,-0.0011471122164617986,-0.0014089979702912592,-0.0011343830510188724,3.5101424625832785e-06,0.9584166333466614,0.9121169916434541,0.9971707398066394,0.9904846247495832
74,0.7881217333064838,0.7565940226180644,0.8295741750482928,-0.0021580373021689025,-0.001295380200011853,-0.00101570602048906,3.338593424919542e-06,0.9587165133946421,0.9122562674094707,0.9971938861875783,0.9904881009056383
75,0.7880290656096556,0.7553614121449145,0.8285518999685321,-9.266769682825249e-05,-0.001232610473149931,-0.001022275079760715,3.1719335590546255e-06,0.9589164334266294,0.9123955431754874,0.9972147316724755,0.9904899815262748
76,0.7863181772726503,0.7542277710347236,0.8276579829684475,-0.0017108883370052785,-0.001133641110190875,-0.0008939170000845653,3.0103376681735965e-06,0.9590163934426229,0.9125348189415042,0.997233734294858,0.9904936117992271
77,0.7856034020977941,0.7531626979006997,0.8267788887023926,-0.0007147751748561859,-0.0010650731340239306,-0.000879094266054925,2.8539752440509894e-06,0.9590163934426229,0.9125348189415042,0.9972514668560554,0.9904967574522016
78,0.7847863594070077,0.7521870830391026,0.8260003997568499,-0.0008170426907864181,-0.0009756148615970295,-0.0007784889455426658,2.7030102892774183e-06,0.9592163134746101,0.9126740947075209,0.9972672426030945,0.9904972332756361
79,0.7841916461898522,0.751278800300405,0.8252942729414555,-0.0005947132171555403,-0.0009082827386976966,-0.0007061268153943923,2.5576011452436254e-06,0.9593162734906038,0.9128133704735376,0.9972831266389268,0.9905003628495694
80,0.7824660065499219,0.7504552300972275,0.8246138650074339,-0.001725639639930221,-0.0008235702031774705,-0.0006804079340215763,2.4179003260620205e-06,0.9593162734906038,0.9129526462395543,0.9972975471902085,0.9905027678104236
81,0.7822602387009696,0.7496859702882888,0.8239844650552984,-0.0002057678489523207,-0.0007692598089387159,-0.000629399952135512,2.2840543586004893e-06,0.9593162734906038,0.9129526462395543,0.9973100882639078,0.990506305978157
82,0.7811330975118008,0.7489839000037953,0.8234077618833173,-0.00112714118916879,-0.0007020702844934279,-0.0005767031719811078,2.1562036287959736e-06,0.9594162335065973,0.9129526462395543,0.997321723810559,0.9905115213963646
83,0.7801946823231198,0.7483445021170604,0.8229403558530306,-0.0009384151886809855,-0.0006393978867349492,-0.0004674060302867211,2.0344822344089953e-06,0.9597161135545782,0.9132311977715878,0.9973325254335376,0.9905104929255987
84,0.7800368864766576,0.7477613876137552,0.8224810591915197,-0.00015779584646224976,-0.000583114503305171,-0.00045929666151089954,1.919017844373637e-06,0.9598160735705717,0.9132311977715878,0.9973422491638245,0.9905119907209815
85,0.779665729792958,0.7472310737718509,0.8220406404712743,-0.00037115668369958055,-0.000530313841904273,-0.00044041872024536133,1.8099315648904503e-06,0.9599160335865654,0.9135097493036212,0.9973509548422778,0.9905169810284374
86,0.7788677640597929,0.7467505456526068,0.8216727198215953,-0.0007979657331651513,-0.0004805281192441502,-0.00036792064967905436,1.7073378124027715e-06,0.9599160335865654,0.9137883008356545,0.9973593089600159,0.9905172234081332
87,0.7786539969965816,0.7463111749178246,0.8213386608843218,-0.0002137670632113009,-0.00043937073478217403,-0.0003340589372734515,1.6113441935896851e-06,0.9599160335865654,0.9139275766016713,0.9973666032322749,0.9905177852537226
88,0.7784990780055523,0.745904145361502,0.8210148497631675,-0.00015491899102926254,-0.0004070295563226578,-0.000323811121154316,1.5220513925014677e-06,0.9599160335865654,0.9139275766016713,0.9973728862362585,0.9905175988107872
89,0.7774600218981504,0.745534684839128,0.8207278586270517,-0.0010390561074018478,-0.00036946052237396554,-0.00028699113611585503,1.4395530649559304e-06,0.960015993602559,0.9139275766016713,0.9973790134994142,0.9905185829865236
90,0.7772262965921651,0.7452186391323428,0.8204702201642489,-0.0002337253059853106,-0.0003160457067852285,-0.00025763846280280056,1.363935740306385e-06,0.9601159536185526,0.914066852367688,0.9973844171050964,0.9905185260017402
91,0.7774337570775639,0.7449352914773966,0.8202544429845977,0.00020746048539876938,-0.00028334765494619774,-0.0002157771796511554,1.2952787306843156e-06,0.9601159536185526,0.9142061281337047,0.9973894440024819,0.9905169569626538
92,0.777546490711922,0.7446744087376173,0.8200532605773524,0.00011273363435804207,-0.0002608827397793112,-0.000201182407245315,1.2336540478118995e-06,0.9601159536185526,0.9143454038997214,0.9973945202852721,0.9905181585926878
93,0.7760137616741386,0.7444412391397017,0.8198606926098204,-0.0015327290377833425,-0.00023316959791552794,-0.0001925679675319758,1.1791263274716544e-06,0.9601159536185526,0.9143454038997214,0.9973983560075858,0.9905182030467709
94,0.7765285356647589,0.7442359501802469,0.8197079384536073,0.0005147739906202764,-0.00020528895945481906,-0.0001527541562130752,1.1317527617124262e-06,0.9602159136345462,0.9143454038997214,0.9974020357272924,0.9905181720596217
95,0.776820975609801,0.7440483140040047,0.8195594245927376,0.00029243994504213333,-0.00018763617624217854,-0.00014851386086978113,1.091583038862834e-06,0.9603158736505398,0.9144846796657382,0.997405004004021,0.9905177571780701
96,0.7768361683596264,0.7438762701010402,0.8194260816825064,1.5192749825421181e-05,-0.00017204390296454708,-0.00013334291023114897,1.0586592914150685e-06,0.9603158736505398,0.9144846796657382,0.9974078213183427,0.990518227874417
97,0.7760451723906127,0.7437189055394523,0.8193037959567288,-0.0007909959690137747,-0.00015736456158788048,-0.00012228572577765995,1.033016051833726e-06,0.9604158336665334,0.9144846796657382,0.9974103768625118,0.9905196414025933
98,0.7760982428762045,0.7435704213154467,0.8191860265899122,5.307048559188843e-05,-0.00014848422400559613,-0.0001177693668165114,1.0146802163360294e-06,0.9604158336665334,0.9144846796657382,0.9974131589532375,0.9905192844929158
99,0.7762106742540543,0.7434317650674265,0.8190804123878479,0.00011243137784977542,-0.00013865624802023024,-0.00010561420206434136,1.003671016681396e-06,0.9604158336665334,0.9144846796657382,0.9974157514858485,0.9905196950852374
100,0.7757050875913013,0.7432976342454741,0.8189796774010909,-0.0005055866627530214,-0.0001341308219523496,-0.00010073498675700066,1e-06,0.9604158336665334,0.9144846796657382,0.9974178760002133,0.990520120909301
