epoch,train_loss,val_loss,train_delta,val_delta,train_acc,val_acc,train_auc,val_auc,predictor_lr,encoder_lr
1,1.1788793610070238,1.6453758613972724,0.0,0.0,0.7069203075692253,0.5001999200319872,0.9448581151169956,0.9192269292086228,3.999999999999983e-05,3.999999999999983e-05
2,0.6988238650797443,1.2832647909091999,-0.4800554959272796,-0.36211107048807256,0.9214631761411618,0.6467413034786086,0.9942285063141204,0.9507505098265031,6.999999999999961e-05,6.999999999999961e-05
3,0.6225005777722056,1.072275170042545,-0.07632328730753868,-0.21098962086665485,0.9513756166940753,0.7522990803678529,0.9971043259765311,0.9649454263884505,0.0001,0.0001
4,0.5897243680771102,0.9609028780007665,-0.032776209695095426,-0.11137229204177856,0.9619538646162051,0.7971811275489804,0.9979693488970685,0.9717653528142746,9.997404066775287e-05,9.997404066775287e-05
5,0.5694815885614265,0.9694470642488214,-0.02024277951568365,0.008544186248054975,0.9691097382105871,0.7971811275489804,0.9985485431244963,0.9704049698352739,9.989618989876655e-05,9.989618989876655e-05
6,0.5561694629829038,0.8467962764486482,-0.013312125578522682,-0.12265078780017324,0.9739766211831637,0.8546581367453019,0.9989103195644708,0.9837946756523901,9.976652934774724e-05,9.976652934774724e-05
7,0.5502818957055834,0.7749907238573968,-0.005887567277320427,-0.07180555259125143,0.9753877950131117,0.8828468612554978,0.9989279594545697,0.9883879046160493,9.958519501070794e-05,9.958519501070794e-05
8,0.5450554186562923,0.9055017730857753,-0.005226477049291134,0.13051104922837853,0.9772434330414685,0.8360655737704918,0.9990580843881934,0.9744352842953367,9.935237708232737e-05,9.935237708232737e-05
9,0.5395331446250732,0.8595122808142553,-0.0055222740312190766,-0.04598949227151994,0.9789879550202231,0.8566573370651739,0.9992392548777167,0.9771874582805121,9.90683197564628e-05,9.90683197564628e-05
10,0.5344983717341992,0.8298298935346966,-0.005034772890873951,-0.029682387279558742,0.9811213831725855,0.8652538984406237,0.9992496441232149,0.9821670915731792,9.873332097002262e-05,9.873332097002262e-05
11,0.5315021497028117,0.7515257687508305,-0.0029962220313874965,-0.07830412478386606,0.9820658695942042,0.8983406637345062,0.9993301706213931,0.9839846100988263,9.834773209047398e-05,9.834773209047398e-05
12,0.5282595994543623,0.9248236719566055,-0.0032425502484494384,0.17329790320577498,0.9834437086092715,0.8398640543782487,0.9994284183657791,0.9669154420285277,9.791195754730502e-05,9.791195754730502e-05
13,0.5248294844800099,0.8564103147651576,-0.003430114974352416,-0.06841335719144792,0.9848659940441797,0.8653538584566174,0.9995119537870385,0.9718216159815641,9.742645440783517e-05,9.742645440783517e-05
14,0.523887464818968,0.8250212714641909,-0.000942019661041904,-0.0313890433009667,0.9851993421929863,0.8754498200719713,0.9995926557461553,0.9779155422722273,9.689173189781365e-05,9.689173189781365e-05
