epoch,train_loss,val_loss,train_delta,val_delta,train_acc,val_acc,train_auc,val_auc,predictor_lr,encoder_lr
1,1.6948962761935862,0.8410127962691875,0.0,0.0,0.47618783057024755,0.8811475409836066,0.8327860678955984,0.9897820720124534,3.999999999999994e-06,3.999999999999994e-06
2,1.0670407913117246,1.1081302203709567,-0.6278554848818616,0.2671174241017692,0.7647895462020534,0.7240103958416634,0.963923529096269,0.9780356696620972,6.999999999999956e-06,6.999999999999956e-06
3,0.7997349223799326,1.3480587579027008,-0.267305868931792,0.23992853753174415,0.889972887683897,0.5919632147141144,0.989996660465413,0.950202829076028,1e-05,1e-05
4,0.6881236538121646,1.542485228067712,-0.11161126856776804,0.19442647016501113,0.9333525934485977,0.5187924830067973,0.9954918471283748,0.9244221871084854,9.997640060704827e-06,9.997640060704827e-06
5,0.6442578999664296,1.5061811555789997,-0.04386575384573499,-0.03630407248871226,0.9481532512556113,0.5444822071171531,0.9969230148230278,0.9284614052308618,9.99056271806971e-06,9.99056271806971e-06
6,0.6200806838883595,1.4623885637597194,-0.024177216078070107,-0.0437925918192803,0.9568425263345037,0.5523790483806478,0.9974503034178408,0.9324293741030419,9.978775395249786e-06,9.978775395249786e-06
