epoch,train_loss,val_loss,test_loss,train_delta,val_delta,test_delta,predictor_lr,val_acc,test_acc,val_auc,test_auc
1,1.3592802086337046,0.7774433091282844,0.7834798549783641,0.0,0.0,0.0,3.9999999999999996e-05,0.9091363454618153,0.9016713091922005,0.9935694616847197,0.9870260234120916
2,0.9501580314880068,0.7044232442975045,0.7397162811509495,-0.40912217714569776,-0.07302006483077994,-0.04376357382741469,6.999999999999993e-05,0.9437225109956018,0.9186629526462395,0.9966323484473941,0.9897301373972941
3,0.8517556325955824,0.6661580368876457,0.7249647563901441,-0.09840239889242441,-0.038265207409858726,-0.014751524760805323,0.0001,0.9545181927229108,0.9245125348189415,0.9974296141186707,0.9911375370740522
4,0.7953893935138528,0.6333345383405685,0.7112249526484259,-0.05636623908172955,-0.03282349854707722,-0.013739803741718237,9.997404066775285e-05,0.965813674530188,0.9279944289693594,0.9980432227445868,0.9913750847543604
5,0.758107934824445,0.614175659418106,0.6999132181036061,-0.0372814586894078,-0.019158878922462486,-0.011311734544819818,9.989618989876661e-05,0.9714114354258296,0.9296657381615598,0.998239493086111,0.9911552494190305
6,0.7279047940603711,0.6044989407062531,0.6856533453382295,-0.030203140764073932,-0.009676718711852939,-0.014259872765376547,9.976652934774728e-05,0.9742103158736506,0.9395543175487465,0.9985758287919732,0.9920928922152257
7,0.7063077029518106,0.6011262565851212,0.6897163966606403,-0.021597091108560562,-0.003372684121131897,0.0040630513224108045,9.958519501070808e-05,0.9735105957616953,0.9346796657381615,0.9986388873490463,0.9916947563475254
8,0.6898109802806919,0.5916634440422058,0.6764639821545831,-0.01649672267111868,-0.009462812542915366,-0.013252414506057186,9.935237708232756e-05,0.9769092363054778,0.9374651810584959,0.9987336337535199,0.9936481929494375
9,0.6769375687634404,0.5852156192064285,0.6939006324472099,-0.01287341151725152,-0.006447824835777327,0.017436650292626754,9.906831975646277e-05,0.9757097161135546,0.9367688022284123,0.9988186856329092,0.9871014013895744
10,0.6653147021477873,0.5760611981153488,0.6710906748113961,-0.011622866615653038,-0.009154421091079668,-0.022809957635813838,9.873332097002275e-05,0.9788084766093562,0.9406685236768803,0.9989535836709847,0.9934861774952716
11,0.6553713542155244,0.5786816775798798,0.6658898715315194,-0.009943347932262925,0.0026204794645309226,-0.005200803279876709,9.834773209047419e-05,0.9762095161935226,0.9415041782729805,0.9989495602329147,0.9930550300120325
12,0.6485063558952375,0.5650717854499817,0.6569916544289425,-0.006864998320286864,-0.013609892129898049,-0.008898217102576877,9.791195754730533e-05,0.9818072770891644,0.9447075208913649,0.9989570072159714,0.9900329260086641
13,0.6397544944828207,0.5694419905543328,0.6573940659391468,-0.008751861412416795,0.004370205104351044,0.00040241151020437016,9.74264544078354e-05,0.9792083166733306,0.944150417827298,0.9988932828192778,0.9905077542369943
14,0.633301614021713,0.5655035227537155,0.659243618619853,-0.006452880461107702,-0.00393846780061724,0.0018495526807061902,9.689173189781402e-05,0.9812075169932027,0.9438718662952646,0.9992473711191757,0.9887786890654964
