epoch,train_loss,val_loss,train_delta,val_delta,train_acc,val_acc,train_auc,val_auc,current_lr
1,1.8304996929046782,0.9874425047560583,0.0,0.0,0.39109515978487935,0.639344262295082,0.7905336229752288,0.9636012171251933,4.199999999999969e-05
2,1.571640493856235,0.7807369337806219,-0.25885919904844323,-0.2067055709754364,0.51562291657407,0.7204118352658937,0.8738179241115636,0.9821674548698661,6.899999999999935e-05
3,1.4552816164425828,0.5093182065064394,-0.11635887741365214,-0.2714187272741825,0.5707809235966043,0.8517592962814874,0.9005540293689531,0.9919359810414632,9.59999999999995e-05
4,1.3467592551288279,0.43824569748926767,-0.10852236131375492,-0.07107250901717177,0.6312613893950842,0.8978408636545382,0.9252956433741824,0.993469931660073,0.00012299999999999966
5,1.2520408556288616,0.35775178519985346,-0.0947183994999663,-0.08049391228941422,0.670163118360816,0.9123350659736106,0.939666337084851,0.9957630776788792,0.00015
6,1.1855788029391656,0.2938080262156981,-0.06646205268969596,-0.06394375898415533,0.711998311036046,0.9406237504998001,0.9530889823654634,0.9973655457495868,0.00014995899430056913
7,1.1695859458043494,0.2857751208770124,-0.01599285713481624,-0.008032905338685725,0.7234210409351527,0.9285285885645742,0.9570824243115107,0.9973011342087779,0.00014983602204140752
8,1.1177381608127193,0.21137525037496904,-0.05184778499163012,-0.07439987050204336,0.7375772256544735,0.9483206717313075,0.9611655067073424,0.9984072068187864,0.0001496312176908752
9,1.0393213081512263,0.2277922953797292,-0.07841685266149301,0.016417045004760156,0.7706453620160896,0.9352259096361455,0.9695623943258995,0.9982208233728951,0.00014934480519952255
10,1.0481615500016646,0.21538856785885896,0.008840241850438302,-0.012403727520870239,0.7664229521312058,0.9367253098760496,0.9685095412496091,0.998036440478136,0.00014897709775520387
11,1.0281336777843535,0.22657686207867875,-0.02002787221731106,0.011188294219819789,0.7724343304146851,0.9519192323070772,0.9701916131149445,0.9984132210971671,0.0001485284974406101
12,0.9945974377915263,0.17670639481725572,-0.03353623999282718,-0.049870467261423024,0.7814125072225432,0.9670131947221111,0.9729740557108452,0.998723386712745,0.00014799949479359981
13,0.9533582780171524,0.16772272371793095,-0.04123915977437387,-0.00898367109932477,0.7970909818214142,0.9659136345461815,0.9761833948551953,0.9989900808942426,0.00014739066827080058
14,0.9681250633968209,0.19294698517533798,0.014766785379668468,0.025224261457407027,0.7899128850171119,0.9641143542582967,0.9755256200599265,0.9988019172501139,0.00014670268361507638
15,0.9554629585155371,0.178017515641979,-0.012662104881283831,-0.014929469533358969,0.7966909640428463,0.9682127149140344,0.9763930667294777,0.9987598025621912,0.00014593629312754727
16,0.9188215750142593,0.17217659016575995,-0.03664138350127777,-0.005840925476219061,0.806246944308636,0.9682127149140344,0.9789618618937767,0.9985416611477839,0.00014509233484495898
17,0.9268650698941201,0.15661764088310773,0.00804349487986078,-0.015558949282652224,0.8136028267923019,0.9775089964014394,0.979729932377031,0.9990040881697679,0.00014417173162330346
18,0.9036826335782693,0.15916651826870593,-0.02318243631585082,0.002548877385598197,0.8227699008844838,0.9654138344662135,0.9817086044679021,0.9990098285735781,0.00014317549012868677
19,0.9132819079624658,0.15849998499019236,0.009599274384196499,-0.0006665332785135702,0.8133139250633361,0.9783086765293882,0.9804947146808627,0.9991678004435729,0.00014210469973655667
20,0.8958238569215279,0.14580904447202442,-0.017458051040937894,-0.012690940518167937,0.8193364149517757,0.9711115553778489,0.9814845135075506,0.9989095855127937,0.0001409605313404863
21,0.900734920647334,0.17288601653108113,0.004911063725806075,0.02707697205905671,0.8081025823369927,0.9738104758096762,0.9800035254933894,0.9991081354506076,0.00013974423607181755
22,0.8708459421865303,0.14819850829205936,-0.029888978460803628,-0.02468750823902177,0.8256811413840616,0.9697121151539384,0.9826086642198563,0.9989088296267438,0.00013845714393156941
23,0.8534625789404593,0.17598399416178087,-0.017383363246071037,0.027785485869721516,0.8345148673274367,0.9696121551379449,0.9840664121078897,0.9990718680747478,0.00013710066233610043
24,0.8828694133976982,0.16355886876205855,0.029406834457238906,-0.01242512539972232,0.8166251833414818,0.976109556177529,0.9813879960103523,0.9991819150744718,0.00013567627457811967
25,0.8618063062683425,0.15010034019434,-0.021063107129355663,-0.013458528567718564,0.8261144939775101,0.9796081567373051,0.9834878412197894,0.9991823858374889,0.00013418553820472793
26,0.8529201430395584,0.14780424007132084,-0.008886163228784105,-0.002296100123019146,0.8386706075825592,0.9784086365453818,0.9852344378507956,0.9992405759363694,0.00013263008331426248
27,0.8481864046982743,0.17589499867415126,-0.004733738341284099,0.028090758602830418,0.842137428330148,0.9645141943222711,0.9854688212906374,0.9990326121688528,0.00013101161077380956
28,0.8333989171184261,0.14703000808441186,-0.014787487579848269,-0.028864990589739403,0.836592737454998,0.9792083166733306,0.9853111703345816,0.9991674842498853,0.00012933189035932986
29,0.8594689927677709,0.1408166666574116,0.026070075649344826,-0.006213341427000252,0.8371705409129294,0.9822071171531388,0.9847419938622701,0.9994155357109401,0.00012759275882043487
30,0.828805427426811,0.1484626886210864,-0.03066356534095993,0.0076460219636748095,0.8480599137739455,0.9822071171531388,0.9863809967348831,0.9992477784805358,0.00012579611787192884
31,0.8265595819843425,0.13556909674330603,-0.0022458454424684193,-0.012893591877780386,0.8443375261122716,0.9785085965613755,0.9863387963934733,0.9994840539608586,0.00012394393211431125
32,0.8292473754422232,0.14464336907184577,0.002687793457880616,0.009074272328539745,0.8389372861016046,0.978608556577369,0.9856877710707228,0.9992066601497557,0.00012203822688551383
33,0.82187058694068,0.15204756037343906,-0.007376788501543108,0.0074041913015932825,0.8466598515489577,0.9816073570571772,0.9864630533069452,0.9992963625633919,0.00012008108604622538
34,0.8153346631337296,0.10624974532217919,-0.00653592380695045,-0.04579781505125986,0.8449819991999644,0.9838064774090364,0.9866388615487052,0.999531483196933,0.00011807464970121941
35,0.8221330245194788,0.13742911438398722,0.006798361385749185,0.03117936906180803,0.8551602293435264,0.9808076769292283,0.9875768432791714,0.9995011665299504,0.00011602111185918064
36,0.8094585475681181,0.15120815664907045,-0.012674476951360703,0.013779042265083224,0.8502377883461487,0.9760095961615354,0.9873012871825853,0.9992495963576162,0.00011392271803358962
37,0.8046969806627285,0.12725668985255156,-0.004761566905389536,-0.023951466796518883,0.8433374816658518,0.9822071171531388,0.9865485802613816,0.999536885990187,0.00011178176278728679
38,0.8231638288972053,0.11586120168242274,0.01846684823447675,-0.011395488170128823,0.8420040890706254,0.9847061175529788,0.9862606505268189,0.9994521356550581,0.00010960058722340026
39,0.8111904165495865,0.12128783234312565,-0.01197341234761884,0.005426630660702911,0.8445486466065159,0.982906837265094,0.9867350926341312,0.999515753274901,0.00010738157642538566
40,0.7936657728542659,0.11563650179135648,-0.017524643695320585,-0.005651330551769168,0.8532156984754878,0.9811075569772091,0.9879018161653345,0.999438014283863,0.00010512715684897135
41,0.7875246367819438,0.12388725871149497,-0.006141136072322029,0.008250756920138491,0.8557269211964976,0.9831067572970812,0.9882403327653139,0.9995019989903958,0.00010283979366886515
42,0.790906552310017,0.11283565171157257,0.0033819155280732094,-0.0110516069999224,0.8581936974976666,0.9793082766893243,0.9884535422632792,0.9994829413006457,0.00010052198808312176
43,0.7749105181375687,0.10643677941606014,-0.015996034172448326,-0.006398872295512434,0.8591826303391262,0.9821071571371451,0.9889028811687839,0.9995386924256042,9.817627457811974e-05
44,0.7918871995696629,0.1272890876176991,0.016976681432094187,0.02085230820163897,0.8494821992088537,0.9807077169132347,0.987699545604551,0.9995050941284492,9.580521815713713e-05
45,0.7656385260634124,0.10342644258767744,-0.026248673506250486,-0.023862645030021667,0.857460331570292,0.9840063974410236,0.9887425443476007,0.9995608313251625,9.34114115355588e-05
46,0.7937691047872332,0.10236754758825785,0.028130578723820743,-0.0010588949994195934,0.8453820169785323,0.985905637744902,0.9873179207160417,0.999598217953805,9.099747230577988e-05
47,0.786558894906193,0.12052622324303736,-0.007210209881040153,0.018158675654779508,0.855393573047691,0.9850059976009596,0.9883066748257066,0.9996286663275433,8.856604007490702e-05
48,0.7782695323906161,0.10785434093279174,-0.008289362515576881,-0.012671882310245616,0.8517934130405795,0.9883046781287484,0.9883141747468971,0.9996734582559087,8.611977357838682e-05
49,0.7658991589507257,0.11931882487444938,-0.012370373439890447,0.011464483941657638,0.8661496066491844,0.9825069972011196,0.98975755115182,0.9995969619401784,8.366134777271756e-05
50,0.7596217219463803,0.1052768112549299,-0.006277437004345354,-0.014042013619519483,0.8657051424507756,0.9837065173930428,0.989791889438187,0.9995285213650269,8.119345091042364e-05
51,0.759050420739434,0.09601862011831018,-0.000571301206946373,-0.009258191136619714,0.8620049779990222,0.9876049580167933,0.989529109607104,0.9996665368563037,7.871878160049062e-05
52,0.7824083052956584,0.09871583535701414,0.02335788455622445,0.002697215238703962,0.8577825681141384,0.9865053978408637,0.9886150250424272,0.9996113405316817,7.624004585747578e-05
53,0.765853133179586,0.10707103904289535,-0.01655517211607238,0.008355203685881205,0.8626383394817547,0.9865053978408637,0.9894127461276503,0.9996089227173227,7.375995414252178e-05
54,0.7691199959848415,0.11160409752326676,0.003266862805255455,0.004533058480371416,0.8649717765234011,0.9853058776489404,0.9896758376499221,0.999560710305183,7.128121839950688e-05
55,0.7573215726720677,0.09471290332229831,-0.01179842331277381,-0.01689119420096845,0.8645828703497933,0.9896041583366654,0.9897931044176015,0.9996141214667923,6.880654908957394e-05
56,0.7674234650965611,0.11509081768461421,0.010101892424493442,0.020377914362315896,0.8552046757633672,0.9868052778888444,0.9887403616445309,0.9995833901042064,6.633865222727996e-05
57,0.7677927513776178,0.09710376200419438,0.00036928628105670214,-0.017987055680419833,0.8529045735366017,0.989204318272691,0.9884953758962719,0.99968913017262,6.388022642161101e-05
58,0.7690010066990826,0.10670255275466774,0.0012082553214647351,0.00959879075047336,0.8675163340592915,0.989204318272691,0.9899108785352038,0.9997141809928424,6.143395992509088e-05
59,0.7442139859036119,0.11215874628175664,-0.024787020795470682,0.005456193527088898,0.8629716876305613,0.9886045581767293,0.9898854832329178,0.9996712609910874,5.900252769421812e-05
60,0.7368131770900536,0.08610572925285448,-0.007400808813558313,-0.026053017028902156,0.8696275390017334,0.9905037984806078,0.9904406383726807,0.9997341756488703,5.658858846443924e-05
61,0.7445765884635462,0.08864234982034828,0.007763411373492679,0.0025366205674938053,0.8703275701142273,0.9894042383046782,0.9904837944117362,0.9997334452837161,5.419478184286093e-05
62,0.7429720994974063,0.09230386795876902,-0.0016044889661399608,0.0036615181384207357,0.8690719587537223,0.989204318272691,0.9902457712600654,0.9997132018191017,5.182372542187829e-05
63,0.743131115260026,0.09279521111446092,0.0001590157626196742,0.0004913431556918951,0.8653051246722077,0.9886045581767293,0.9899275279604637,0.9997411075330724,4.9478011916876085e-05
64,0.7383659695994786,0.0986073411340955,-0.00476514566054731,0.005812130019634584,0.865171785412685,0.9872051179528188,0.9900680850857351,0.9997131580801244,4.716020633113275e-05
65,0.7434741822918031,0.09470390792511686,0.005108212692324421,-0.0039034332089786378,0.8631716965198454,0.9851059576169532,0.9900609273468169,0.9996789207395724,4.4872843151026685e-05
66,0.731026432741518,0.10170263061417809,-0.012447749550285048,0.006998722689061224,0.8701053380150229,0.9895041983206717,0.9905882162567242,0.9997498683375728,4.261842357461246e-05
67,0.7351262622343545,0.09581061999631833,0.004099829492836493,-0.0058920106178597526,0.8701497844348638,0.9891043582566973,0.9907824261249013,0.9997239993759054,4.039941277659794e-05
68,0.7400725761386142,0.10055101323354093,0.004946313904259703,0.004740393237222598,0.8702164540646251,0.9890043982407037,0.9905456247409448,0.9997313297637527,3.82182372127115e-05
69,0.7432697005464103,0.09901194198976589,0.0031971244077960703,-0.0015390712437750448,0.8649717765234011,0.9862055177928829,0.9901921379669515,0.9997681177447415,3.607728196640851e-05
70,0.7350997533966702,0.10979858550089824,-0.008169947149740064,0.010786643511132357,0.8781501400062225,0.9873050779688125,0.9915161825528693,0.999793692079359,3.3978888140817555e-05
71,0.7388312814291567,0.09482338637868061,0.003731528032486442,-0.014975199122217633,0.8660607138095027,0.9889044382247101,0.9903197733793974,0.999759713184004,3.1925350298778764e-05
72,0.7448925990928811,0.0828765619876264,0.006061317663724419,-0.011946824391054212,0.8684385972709898,0.9899040383846461,0.990374617949166,0.9997837563485005,2.9918913953772703e-05
73,0.7223081959686666,0.0944538414478302,-0.022584403124214503,0.011577279460203801,0.8783390372905463,0.9900039984006398,0.9915643848677301,0.9997648031264273,2.79617731144843e-05
74,0.7130620137534358,0.0878860081392753,-0.00924618221523077,-0.006567833308554899,0.8774501088937287,0.9890043982407037,0.9915438349457436,0.9997810632227208,2.6056067885687e-05
75,0.7283476241758432,0.09566847140653224,0.015285610422407392,0.007782463267256942,0.8753611271612072,0.9880047980807677,0.9913582535737553,0.9997699758704311,2.420388212806911e-05
76,0.7047414823689244,0.0914483543815492,-0.02360614180691878,-0.004220117024983039,0.8721165385128228,0.9900039984006398,0.9912022512206732,0.9997933152107044,2.240724117956304e-05
77,0.7455766203347594,0.09916644439667086,0.04083513796583493,0.007718090015121651,0.8694608649273301,0.9868052778888444,0.9907388930288124,0.9997708616033678,2.066810964066802e-05
78,0.7354248554064807,0.08900470013105416,-0.010151764928278628,-0.010161744265616696,0.8683052580114672,0.9885045981607357,0.9904256665868646,0.9997711228779319,1.898838922618812e-05
79,0.7168529903389175,0.08353925774557681,-0.018571865067563254,-0.005465442385477345,0.8756722521000934,0.9900039984006398,0.991351581042134,0.9998190430963098,1.7369916685735243e-05
80,0.7272971329723739,0.08356378967814808,0.010444142633456388,2.4531932571264514e-05,0.8758389261744967,0.9896041583366654,0.9915340101257281,0.9998195640264673,1.5814461795270143e-05
81,0.7235598703634671,0.09466426470611669,-0.003737262608906722,0.011100475027968612,0.8808169251966754,0.9880047980807677,0.9918204710864887,0.9997857438077289,1.4323725421878666e-05
82,0.7345275935632262,0.09031438186198851,0.010967723199759027,-0.004349882844128183,0.8757166985199342,0.9867053178728509,0.991161204556567,0.9997851745695598,1.2899337663898254e-05
83,0.719144638648934,0.09296187541530102,-0.015382954914292202,0.0026474935533125077,0.8752277879016845,0.9885045981607357,0.991532218254463,0.9997871645207509,1.1542856068429602e-05
84,0.7312378804093566,0.09651957122208196,0.01209324176042259,0.003557695806780947,0.8708609271523179,0.98640543782487,0.9910177974956296,0.9997564640991133,1.0255763928181734e-05
85,0.7204099161105908,0.08960402011871338,-0.010827964298765758,-0.0069155511033685835,0.8648939952886795,0.9881047580967613,0.9904895596802447,0.9997855008180204,9.039468659513115e-06
86,0.7321913007075306,0.08743444443503513,0.011781384596939781,-0.002169575683678246,0.864571758744833,0.9896041583366654,0.9903536134071226,0.9997801384879403,7.895300263442565e-06
87,0.7435570205350153,0.08785488796007784,0.011365719827484688,0.0004204435250427102,0.8725387795013112,0.9887045181927229,0.9908912960465303,0.9997875387483474,6.824509871312664e-06
88,0.7202754351522096,0.09096633020458342,-0.02328158538280567,0.0031114422445055745,0.8756833637050535,0.9875049980007997,0.9915224913933195,0.9997739292229182,5.828268376696012e-06
89,0.7257792067248374,0.08847355352172369,0.005503771572627825,-0.002492776682859729,0.8746499844437531,0.9887045181927229,0.9913023266228191,0.9997763038299401,4.907665155040312e-06
90,0.7198265207804401,0.08848418946130367,-0.005952685944397351,1.0635939579978215e-05,0.8840392906351393,0.9887045181927229,0.9924196251611455,0.9997720831867275,4.063706872452321e-06
91,0.7090134732531045,0.0857527252239517,-0.010813047527335584,-0.0027314642373519604,0.8880283568158585,0.9899040383846461,0.9925254891737924,0.9997812014091217,3.297316384923112e-06
92,0.7041600506795063,0.08402118657397319,-0.004853422573598221,-0.0017315386499785201,0.881094715320681,0.9896041583366654,0.9920801810691421,0.9997852360359745,2.6093317291987965e-06
93,0.7182835037608377,0.08771822346916681,0.01412345308133145,0.0036970368951936283,0.8827725676696742,0.9885045981607357,0.9920051290285675,0.9997785516593921,2.000505206399526e-06
94,0.718974405455149,0.08713391772176646,0.0006909016943112967,-0.0005843057474003571,0.8716831859193742,0.9882047181127549,0.9913514177166748,0.9997762280666428,1.4715025593892733e-06
95,0.7338125266409903,0.08620511551823797,0.014838121185841269,-0.0009288022035284921,0.869405306902529,0.9894042383046782,0.9907781274337665,0.9997852086753795,1.0229022447958085e-06
96,0.7290449656800113,0.0869073101048228,-0.004767560960978967,0.0007021945865848395,0.869805324681097,0.9893042782886845,0.9908873672182891,0.9997829380638714,6.551948004768485e-07
97,0.7164793680951168,0.08714634132913396,-0.012565597584894506,0.00023903122431115364,0.8748055469131961,0.9890043982407037,0.9913397803477015,0.9997792460998167,3.6878230912413703e-07
98,0.7125044234245169,0.08692384619690195,-0.003974944670599889,-0.00022249513223200623,0.8750388906173607,0.9890043982407037,0.9916212593412114,0.9997802514288036,1.6397795859190717e-07
99,0.7223781982479109,0.0869301358072818,0.009873774823394021,6.28961037985043e-06,0.8670607582559224,0.9891043582566973,0.9905050754884195,0.9997807187504186,4.100569943054572e-08
100,0.7188887729478831,0.08696667038941686,-0.0034894253000278264,3.653458213505323e-05,0.8731165829592427,0.9891043582566973,0.9912278189047566,0.99978075608202,0.0
