epoch,train_loss,val_loss,test_loss,train_delta,val_delta,test_delta,predictor_lr,val_acc,test_acc,val_auc,test_auc
1,1.358317993073301,0.7917634651064873,0.8053848496798811,0.0,0.0,0.0,3.9999999999999996e-05,0.8945421831267493,0.8896935933147633,0.9926288992980249,0.9850079726222233
2,0.9541414114223286,0.7136495307087898,0.7340084211579685,-0.40417658165097237,-0.07811393439769754,-0.07137642852191262,6.999999999999993e-05,0.9349260295881647,0.923259052924791,0.9962878663608767,0.9890099813067764
3,0.8562482592057098,0.6676444977521896,0.7390203044332307,-0.09789315221661876,-0.04600503295660019,0.005011883275262252,0.0001,0.9546181527389045,0.9174094707520891,0.9975104477216434,0.9888719288935065
4,0.7991923053156246,0.6347848266363144,0.7109702147286514,-0.05705595389008522,-0.03285967111587518,-0.02805008970457934,9.997404066775285e-05,0.9620151939224311,0.9282729805013927,0.9979607318027247,0.9904048615626743
5,0.7598951741714369,0.6172097653150559,0.7080716202998983,-0.03929713114418765,-0.017575061321258523,-0.002898594428753065,9.989618989876661e-05,0.9702119152339065,0.9291086350974931,0.9984240574229136,0.9913036717675308
6,0.7319246618585153,0.6093716710805893,0.704667851842683,-0.02797051231292158,-0.007838094234466575,-0.0034037684572153504,9.976652934774728e-05,0.970811675329868,0.9307799442896936,0.9986850115194486,0.9923360451315596
7,0.7132094891911204,0.5990740865468979,0.7069239863033953,-0.018715172667394975,-0.01029758453369145,0.002256134460712267,9.958519501070808e-05,0.9734106357457017,0.9291086350974931,0.9988386483941605,0.9890937211025665
8,0.693919793956659,0.5886106491088867,0.6853911506718603,-0.019289695234461335,-0.010463437438011147,-0.021532835631534963,9.935237708232756e-05,0.9758096761295482,0.9299442896935933,0.9988241410562034,0.9900625135959464
9,0.6829797368157994,0.588919273018837,0.6909669904873289,-0.01094005714085966,0.00030862390995023414,0.005575839815468608,9.906831975646277e-05,0.9769092363054778,0.932033426183844,0.9989949440839193,0.9904889731532303
10,0.6690110794522546,0.5816734522581101,0.6818514877352221,-0.0139686573635448,-0.007245820760726884,-0.009115502752106819,9.873332097002275e-05,0.9788084766093562,0.938857938718663,0.9990070748075609,0.9909197914153438
11,0.6603141062977639,0.5842812776565551,0.682083849249215,-0.008696973154490695,0.0026078253984450628,0.00023236151399286253,9.834773209047419e-05,0.9769092363054778,0.9344011142061281,0.9989219205755493,0.9876796409040777
12,0.6513675642623142,0.5683962583541871,0.6754887535654265,-0.008946542035449645,-0.015885019302368075,-0.0065950956837884656,9.791195754730533e-05,0.9816073570571772,0.9394150417827298,0.9992244325329833,0.9882104879102651
