epoch,train_loss,val_loss,train_delta,val_delta,current_lr
1,0.492982592433691,0.43732422962784767,0.0,0.0,7.595000000000008e-05
2,0.4303295566615733,0.4301328420639038,-0.06265303577211773,-0.007191387563943885,0.0001509000000000003
3,0.4285395003177903,0.4307812713086605,-0.0017900563437829864,0.0006484292447567208,0.00022584999999999974
4,0.42794796197929164,0.430221688747406,-0.0005915383384986761,-0.0005595825612544902,0.0003007999999999991
5,0.4277196779677814,0.42876736596226694,-0.00022828401151026023,-0.0014543227851390728,0.0003757499999999979
6,0.4278060697357763,0.4286074906587601,8.639176799490889e-05,-0.0001598753035068623,0.00045069999999999605
7,0.4253952568396926,0.4274206668138504,-0.0024108128960836916,-0.0011868238449097013,0.0005256499999999948
8,0.42322166966782376,0.42288634181022644,-0.0021735871718688293,-0.00453432500362394,0.0006005999999999942
9,0.41633284523744474,0.41388940885663034,-0.006888824430379026,-0.008996932953596104,0.0006755499999999896
10,0.4081947127865119,0.40981926023960114,-0.008138132450932811,-0.004070148617029201,0.0007504999999999864
11,0.40092857960950246,0.3998632624745369,-0.007266133177009471,-0.009955997765064228,0.0008254499999999825
12,0.39672120626677165,0.39683314189314844,-0.0042073733427308024,-0.0030301205813884624,0.0009003999999999808
13,0.39375126819041645,0.3943943701684475,-0.0029699380763552052,-0.002438771724700972,0.000975349999999977
14,0.39165102935988794,0.39194017872214315,-0.0021002388305285113,-0.0024541914463043213,0.0010502999999999758
15,0.39100168518383394,0.3932257004082203,-0.0006493441760540009,0.0012855216860771512,0.0011252499999999726
16,0.3897747504101558,0.390319961309433,-0.0012269347736781344,-0.00290573909878733,0.001200199999999968
17,0.388682816600935,0.3905906081199646,-0.0010919338092207909,0.0002706468105316273,0.001275149999999959
18,0.3878366155549884,0.390333092212677,-0.0008462010459466263,-0.00025751590728761986,0.0013500999999999526
19,0.38701571947471664,0.38903708308935164,-0.0008208960802717491,-0.0012960091233253368,0.0014250499999999436
20,0.3864574071697213,0.3867476671934128,-0.000558312304995312,-0.00228941589593884,0.0015
21,0.3855518820610913,0.3868567064404488,-0.000905525108630012,0.00010903924703598022,0.0014999939207277298
22,0.38461040442978794,0.38625776395201683,-0.0009414776313033668,-0.0005989424884319527,0.0014999756830095371
23,0.38394557870924473,0.3853681765496731,-0.0006648257205432162,-0.0008895874023437389,0.001499945287141282
24,0.3832604388113726,0.38459021002054217,-0.0006851398978721113,-0.0007779665291309246,0.001499902733616047
25,0.38251786230301316,0.3837601341307163,-0.0007425765083594604,-0.0008300758898258653,0.0014998480231241454
26,0.38199420527301053,0.3835086107254028,-0.0005236570300026222,-0.0002515234053134807,0.0014997811565531061
27,0.3814413504336368,0.38334258273243904,-0.0005528548393737287,-0.0001660279929637798,0.001499702134987651
28,0.3810487740080465,0.38286097422242166,-0.0003925764255903186,-0.0004816085100173839,0.0014996109597096802
29,0.38073791859840805,0.38187247067689895,-0.00031085540963843306,-0.000988503545522712,0.001499507632198262
30,0.3802258441732688,0.3821346819400787,-0.0005120744251392306,0.00026221126317976795,0.0014993921541295934
31,0.38009963353926485,0.3819200746715069,-0.00012621063400397592,-0.00021460726857180923,0.0014992645273769869
32,0.3797146008265289,0.38113677576184274,-0.0003850327127359332,-0.0007832989096641652,0.001499124754010831
33,0.37944050700488413,0.381074932217598,-0.000274093821644783,-6.184354424476624e-05,0.0014989728362985561
34,0.3791663935407996,0.3810334697365761,-0.0002741134640845133,-4.1462481021881104e-05,0.0014988087767046025
35,0.3789075846699151,0.3805555887520313,-0.0002588088708845304,-0.00047788098454476513,0.0014986325778903794
36,0.3787888235158541,0.3805319778621197,-0.00011876115406100896,-2.361088991165161e-05,0.0014984442427142218
37,0.3783997952599417,0.38033436611294746,-0.00038902825591236034,-0.0001976117491722107,0.0014982437742313377
38,0.37838637397031893,0.37995955124497416,-1.3421289622783661e-05,-0.00037481486797330543,0.0014980311756937746
39,0.3780950444157828,0.3797101370990276,-0.00029132955453614606,-0.000249414145946536,0.0014978064505503479
40,0.37812003010714595,0.3796419143676758,2.4985691363166307e-05,-6.822273135181911e-05,0.001497569602446595
41,0.3777429712936282,0.3793504863977432,-0.00037705881351773884,-0.00029142796993258946,0.0014973206352247139
42,0.37767594087530265,0.379415699839592,-6.703041832556433e-05,6.521344184878819e-05,0.0014970595529235063
43,0.37751695776188915,0.38040208369493483,-0.00015898311341350224,0.0009863838553428317,0.0014967863597782967
44,0.3773463922129436,0.37916094735264777,-0.00017056554894556708,-0.0012411363422870636,0.0014965010602208846
45,0.3772118587724187,0.379262475669384,-0.00013453344052488658,0.00010152831673621021,0.0014962036588794588
46,0.37709780951792543,0.37888029366731646,-0.00011404925449326475,-0.0003821820020675215,0.001495894160578526
47,0.37695102198896085,0.3792147785425186,-0.00014678752896457592,0.00033448487520215675,0.0014955725703388327
48,0.3768913551149043,0.37872902005910875,-5.9666874056563124e-05,-0.0004857584834098705,0.0014952388933772796
49,0.37681064348329196,0.37839832082390784,-8.071163161232908e-05,-0.00033069923520090416,0.001494893135106846
50,0.3766124722632495,0.37876876890659333,-0.00019817122004245347,0.0003704480826854928,0.001494535301136493
51,0.3764977246861566,0.3784154921770096,-0.00011474757709289962,-0.00035327672958374023,0.0014941653972710804
52,0.37644568881527946,0.37842743620276453,-5.2035870877154e-05,1.1944025754939691e-05,0.0014937834295112638
53,0.3763307375325398,0.37837128713727,-0.00011495128273963928,-5.614906549455956e-05,0.0014933894040534046
54,0.37641931359063496,0.37807671949267385,8.857605809514668e-05,-0.00029456764459612206,0.0014929833272894618
55,0.3762811686504971,0.3780744731426239,-0.00013814494013786316,-2.246350049972534e-06,0.001492565205806899
56,0.3761985683813691,0.3779698133468628,-8.26002691279859e-05,-0.00010465979576107509,0.0014921350463885678
57,0.3761382040313699,0.3780273512005806,-6.036434999923124e-05,5.753785371781506e-05,0.0014916928560126054
58,0.3760620119388808,0.3780484363436699,-7.619209248910241e-05,2.1085143089294434e-05,0.0014912386418523187
59,0.3759065754711628,0.37779407352209093,-0.00015543646771798425,-0.0002543628215789795,0.0014907724112760616
