epoch,train_loss,val_loss,test_loss,train_delta,val_delta,test_delta,predictor_lr,val_acc,test_acc,val_auc,test_auc
1,1.3633062368766828,0.8190609887242317,0.7960100441143431,0.0,0.0,0.0,3.9999999999999996e-05,0.885045981607357,0.8924791086350975,0.9917199538134933,0.9858630581893651
2,0.963920530101115,0.7338771864771843,0.7660716587099535,-0.39938570677556784,-0.08518380224704747,-0.029938385404389534,6.999999999999993e-05,0.9289284286285486,0.901949860724234,0.9956234788997853,0.9881082263657706
3,0.863598367368633,0.6825059249997139,0.7328364376364083,-0.10032216273248196,-0.0513712614774704,-0.03323522107354526,0.0001,0.9453218712514994,0.9231197771587744,0.9968569441764727,0.9897523281765024
4,0.8062984672459689,0.6546671122312546,0.7163319937114058,-0.05729990012266417,-0.02783881276845923,-0.0165044439250025,9.997404066775285e-05,0.9574170331867253,0.9259052924791087,0.9973729255161948,0.9910236539701311
5,0.768798339265314,0.6194683387875557,0.6960675510866888,-0.03750012798065483,-0.03519877344369893,-0.02026444262471694,9.989618989876661e-05,0.9664134346261496,0.9334261838440111,0.9982812417430333,0.9911280015554185
