epoch,train_loss,val_loss,train_delta,val_delta,train_acc,val_acc,train_auc,val_auc,current_lr
1,2.098843951794234,1.4084088455272625,0.0,0.0,0.28724609982665894,0.43552578968412636,0.6956630155827744,0.9101091200094843,4.199999999999969e-05
2,1.7849197904156013,1.3416329961788804,-0.31392416137863277,-0.0667758493483821,0.40132894795324237,0.4870051979208317,0.8033145081811468,0.9251705320962533,6.899999999999935e-05
3,1.639998896555467,0.9009913424902325,-0.1449208938601343,-0.44064165368864794,0.47988799502200097,0.6641343462614954,0.8527420079190908,0.9683065734094723,9.59999999999995e-05
4,1.5445327694443138,0.6655397060551221,-0.09546612711115321,-0.23545163643511036,0.5304457975910041,0.7827868852459017,0.8814795355889938,0.9824891747823082,0.00012299999999999966
5,1.4386914987963708,0.54559583414959,-0.10584127064794302,-0.11994387190553213,0.5874816658518156,0.8221711315473811,0.9068333083373216,0.9877914609403352,0.00015
6,1.3416464490477333,0.4226730320649811,-0.09704504974863748,-0.12292280208460893,0.6316058491488511,0.8597560975609756,0.9259369027648243,0.9932081355444173,0.00014995899430056913
7,1.2805615151301026,0.3181888766681092,-0.0610849339176307,-0.10448415539687189,0.6706853637939464,0.9033386645341863,0.9396397318368306,0.9947596581601297,0.00014983602204140752
8,1.2026199297556146,0.3069288210023808,-0.07794158537448803,-0.011260055665728408,0.6977532334770434,0.9169332267093163,0.9488288341083706,0.9959428618221335,0.0001496312176908752
9,1.194832923271778,0.2833514175837553,-0.007787006483836567,-0.023577403418625464,0.7150428907951465,0.9196321471411435,0.953275128068863,0.9963651657453786,0.00014934480519952255
10,1.1615644364025106,0.31579991514924205,-0.03326848686926742,0.032448497565486734,0.7286657184763767,0.9120351859256297,0.9580591054524924,0.9957515511889523,0.00014897709775520387
11,1.1171922497451305,0.28331941064400007,-0.044372186657380075,-0.03248050450524198,0.7389328414596205,0.9215313874450219,0.9612101026216876,0.9967321712667828,0.0001485284974406101
12,1.103281978983432,0.2687672133309932,-0.013910270761698484,-0.014552197313006887,0.748388817280768,0.9350259896041584,0.9636351194478441,0.997062345568182,0.00014799949479359981
13,1.0969184466891668,0.2414545071653173,-0.006363532294265228,-0.027312706165675882,0.7556558069247522,0.9491203518592563,0.9661195443410625,0.9976631616924505,0.00014739066827080058
14,1.0552635850723495,0.22942167501660843,-0.04165486161681731,-0.012032832148708872,0.7666007378105694,0.947421031587365,0.9686389817972239,0.9978842093140704,0.00014670268361507638
15,1.0621179550124162,0.2175307027712653,0.006854369940066718,-0.011890972245343134,0.766834081514734,0.9498200719712115,0.9687965937430119,0.9979135231091661,0.00014593629312754727
16,1.0392434795133092,0.24344219059883793,-0.02287447549910704,0.025911487827572632,0.7731121383172586,0.9445221911235506,0.9705389821444211,0.9978564518634021,0.00014509233484495898
17,1.0059920187658546,0.2079971593957913,-0.03325146074745455,-0.03544503120304662,0.7776790079559092,0.9550179928028788,0.9720337408515172,0.9980742008631024,0.00014417173162330346
18,1.0010345551100643,0.18611663579940796,-0.004957463655790306,-0.021880523596383344,0.7873016578514601,0.9651139544182327,0.9737823136537023,0.9984407518591119,0.00014317549012868677
19,0.996307619635693,0.21283012204155138,-0.004726935474371308,0.026713486242143425,0.7864793990844038,0.9542183126749301,0.9738604607422658,0.9983101004613343,0.00014210469973655667
20,0.9895266175524078,0.208189601573763,-0.006781002083285248,-0.004640520467788373,0.7902017867460776,0.9557177129148341,0.9748645474779456,0.9984029978639845,0.0001409605313404863
21,0.9855283885262907,0.1769004427368128,-0.003998229026117128,-0.031289158836950215,0.7956464731765857,0.9634146341463414,0.9761207655115935,0.9985647411083127,0.00013974423607181755
22,0.9704987125005573,0.191504738753355,-0.015029676025733352,0.014604296016542201,0.7981132494777545,0.9626149540183926,0.9766343615387978,0.9985846718212392,0.00013845714393156941
23,0.950855196051469,0.19084486657682853,-0.01964351644908835,-0.0006598721765264659,0.8053580159118183,0.9622151139544183,0.9780960036400455,0.9985279860647585,0.00013710066233610043
24,0.9397771151059053,0.18846006700886955,-0.011078080945563618,-0.0023847995679589784,0.8078581270278679,0.9639144342263095,0.9787141055439883,0.9987402168690424,0.00013567627457811967
25,0.9183878935238515,0.17170830816030502,-0.021389221582053808,-0.01675175884856453,0.8174474421085381,0.9632147141143542,0.9803447797001764,0.9986982401520884,0.00013418553820472793
26,0.9331652120348405,0.20474207929418056,0.014777318510988957,0.03303377113387554,0.8061802746788747,0.9475209916033587,0.9788937379860817,0.9981654642057283,0.00013263008331426248
27,0.9148526044393127,0.1687171962819522,-0.018312607595527775,-0.036024883012228365,0.8171140939597316,0.968812475009996,0.9803805043913437,0.9988338826069018,0.00013101161077380956
28,0.9160122909921814,0.17218683678892593,0.0011596865528686884,0.003469640506973737,0.8171585403795725,0.9657137145141943,0.9804583148059197,0.9989032155525456,0.00012933189035932986
29,0.9054036697965454,0.17753994710083248,-0.010608621195635992,0.00535311031190655,0.830036890528468,0.9614154338264694,0.9826407641810704,0.9988137493395463,0.00012759275882043487
30,0.9093430736948821,0.17887265885932535,0.003939403898336691,0.001332711758492866,0.8235699364416196,0.9687125149940023,0.9815775480392317,0.998972042274976,0.00012579611787192884
