epoch,train_loss,val_loss,test_loss,train_delta,val_delta,test_delta,predictor_lr,val_acc,test_acc,val_auc,test_auc
1,2.1736777262254194,2.14207843542099,2.146335116748152,0.0,0.0,0.0,3.9999999999999996e-05,0.3938424630147941,0.3987465181058496,0.87958593458087,0.884600971272626
2,2.091918866742741,2.0369831323623657,2.0551915662042024,-0.08175885948267858,-0.10509530305862436,-0.09114355054394974,6.999999999999993e-05,0.555577768892443,0.5671309192200558,0.949469319136407,0.9350159870383654
3,1.9653255577114495,1.8948261559009552,1.92432373967664,-0.1265933090312914,-0.14215697646141057,-0.13086782652756246,0.0001,0.6390443822471011,0.6484679665738161,0.9624764207725026,0.9429090703821856
4,1.816021493551406,1.751156011223793,1.7911356893079033,-0.14930406416004338,-0.14367014467716221,-0.1331880503687366,9.997404066775285e-05,0.73640543782487,0.743175487465181,0.9701017909960006,0.9490788331047134
5,1.6812242916361853,1.6284248650074005,1.675627322032534,-0.13479720191522082,-0.12273114621639247,-0.1155083672753694,9.989618989876661e-05,0.799780087964814,0.7977715877437326,0.975271548741108,0.9552202708757965
6,1.5664469396526164,1.5225281417369843,1.575784995638091,-0.11477735198356886,-0.10589672327041622,-0.09984232639444302,9.976652934774728e-05,0.8521591363454618,0.8298050139275766,0.9790464318952936,0.9609224864213756
7,1.466988804326816,1.430126366019249,1.4873802127509281,-0.09945813532580039,-0.09240177571773533,-0.0884047828871628,9.958519501070808e-05,0.8767493002798881,0.8373259052924791,0.9820830041638737,0.9661772912703684
8,1.3798908977345987,1.3488579154014588,1.4104343899365128,-0.08709790659221728,-0.08126845061779009,-0.07694582281441531,9.935237708232756e-05,0.8922431027588964,0.8512534818941504,0.9845112118230068,0.9704788561335792
9,1.3033577803183685,1.2770236402750015,1.3409889689807235,-0.07653311741623026,-0.07183427512645735,-0.06944542095578932,9.906831975646277e-05,0.9071371451419432,0.8623955431754875,0.9865401826731072,0.9745349768278521
10,1.2357546859844164,1.2130972176790238,1.2795335958743919,-0.06760309433395206,-0.0639264225959777,-0.061455373106331646,9.873332097002275e-05,0.9170331867253099,0.8700557103064067,0.9882469143355811,0.9780307284170315
11,1.1763817322525112,1.156160819530487,1.2251164666537582,-0.05937295373190521,-0.05693639814853668,-0.054417129220633687,9.834773209047419e-05,0.9228308676529389,0.8733983286908078,0.9897147783448782,0.981252457315442
12,1.123307298191569,1.105104887485504,1.1750486102597466,-0.053074434060942144,-0.05105593204498304,-0.05006785639401157,9.791195754730533e-05,0.9293282686925229,0.8792479108635097,0.9909141947984378,0.983874866273177
13,1.075482425364581,1.0592134490609169,1.1315597008014548,-0.04782487282698811,-0.045891438424587205,-0.04348890945829176,9.74264544078354e-05,0.9319272291083567,0.8814763231197772,0.9919075401412658,0.9857052099969229
14,1.0333008181981065,1.0180907532572747,1.0920514484931683,-0.042181607166474455,-0.04112269580364214,-0.039508252308286584,9.689173189781402e-05,0.9353258696521392,0.8835654596100279,0.9927886018935838,0.986986009694375
15,0.9949172711507841,0.9809077620506287,1.0570132732391357,-0.038383547047322386,-0.03718299120664603,-0.03503817525403252,9.630835086731391e-05,0.93812475009996,0.8863509749303621,0.9935377932252553,0.9877315000819702
16,0.9612773013385859,0.9475043326616287,1.0252219048039666,-0.03363996981219819,-0.03340342938899998,-0.031791368435169165,9.567692320247625e-05,0.9416233506597361,0.8894150417827298,0.9941740039204512,0.9882078806360918
17,0.9305171334946697,0.9172520443797112,0.9969086708693669,-0.03076016784391622,-0.030252288281917505,-0.028313233934599724,9.4998111183727e-05,0.9447221111555378,0.8891364902506964,0.99472538439627,0.9885291224412528
18,0.9029596033082767,0.889970850944519,0.9717777227533275,-0.027557530186392953,-0.027281193435192197,-0.02513094811603933,9.427262679113594e-05,0.9486205517792883,0.8909470752089137,0.9952293784591126,0.9887003885961347
19,0.8774312287569046,0.8652221962809563,0.9492716398732416,-0.025528374551372135,-0.024748654663562686,-0.02250608288008593,9.350123095764832e-05,0.9501199520191923,0.8927576601671309,0.9956639009846001,0.988751315330311
20,0.8558327225460247,0.842500950396061,0.928703784942627,-0.021598506210879886,-0.022721245884895325,-0.020567854930614637,9.268473277097031e-05,0.9520191923230708,0.8949860724233983,0.9960424730582239,0.9888179320925291
21,0.8353871591389179,0.822304955124855,0.9113716030942982,-0.020445563407106793,-0.02019599527120597,-0.017332181848328743,9.18239886249488e-05,0.9534186325469812,0.8959610027855153,0.9963777516534701,0.988817576916751
22,0.8166976247660138,0.8039063155651093,0.8945595395976099,-0.018689534372904104,-0.018398639559745744,-0.01681206349668829,9.09199013213318e-05,0.9545181927229108,0.898050139275766,0.9966832065035057,0.9888396046280081
23,0.8002117631787603,0.786995393037796,0.8805127719352985,-0.016485861587253514,-0.0169109225273133,-0.014046767662311388,8.997341912285438e-05,0.9560175929628149,0.9001392757660167,0.9969607255914552,0.9887839217035537
24,0.7851187373426828,0.7717498153448105,0.8676281139768404,-0.015093025836077523,-0.015245577692985512,-0.012884657958458168,8.898553475864235e-05,0.9576169532187125,0.9011142061281338,0.9971964471867835,0.9888003066985755
25,0.7717392263426022,0.7577316209673881,0.8556160022472513,-0.013379511000080613,-0.014018194377422355,-0.012012111729589048,8.795728438297576e-05,0.9598160735705717,0.9043175487465182,0.9974207564576473,0.9887126539481067
26,0.7591626600108363,0.7451012551784515,0.8461167010767706,-0.012576566331765848,-0.012630365788936615,-0.0094993011704807,8.688974648850607e-05,0.9612155137944822,0.9050139275766017,0.9976182536211281,0.9886566765510312
27,0.747701262039217,0.7335140764713287,0.8359782408023703,-0.01146139797161927,-0.01158717870712278,-0.010138460274400352,8.578404077506775e-05,0.9624150339864055,0.9057103064066853,0.9977920146266965,0.9886689855174757
28,0.7374028004705906,0.7229748383164406,0.8279342548600559,-0.01029846156862646,-0.010539238154888109,-0.008043985942314369,8.464132697526578e-05,0.9642143142742903,0.9093314763231197,0.9979552306280048,0.9885719084168775
29,0.7283360939472914,0.7134186863899231,0.8208083243205629,-0.009066706523299217,-0.009556151926517487,-0.007125930539492953,8.346280363807771e-05,0.9652139144342263,0.9114206128133705,0.9980975146847645,0.9884530695053508
30,0.7192574175582691,0.704558476805687,0.8143841542046646,-0.009078676389022267,-0.008860209584236167,-0.006424170115898353,8.224970687174083e-05,0.9662135145941624,0.9133704735376045,0.998226989120515,0.9883958624189906
31,0.7123362203551964,0.6964529722929,0.8089015812709414,-0.006921197203072715,-0.00810550451278691,-0.005482572933723229,8.100330904724528e-05,0.9676129548180727,0.9144846796657382,0.9983395643831836,0.9883298469702585
32,0.7045917341654951,0.6889372497797013,0.8036802657719316,-0.00774448618970125,-0.007515722513198764,-0.005221315499009727,7.972491746379248e-05,0.9685125949620151,0.916016713091922,0.9984419025791114,0.9882873193921616
33,0.6979617635634813,0.6819552972912788,0.7985831252459822,-0.006629970602013868,-0.006981952488422483,-0.005097140525949451,7.841587297761924e-05,0.9689124350259896,0.9174094707520891,0.9985360770444677,0.9881930544371045
34,0.6914672858335755,0.6755130797624588,0.7953192941073713,-0.0064944777299057455,-0.006442217528820016,-0.00326383113861084,7.707754859562416e-05,0.9698120751699321,0.9181058495821727,0.9986224900203781,0.9881131228850495
35,0.6859299178150567,0.6697457224130631,0.791633505245735,-0.005537368018518785,-0.0057673573493957075,-0.0036857888616363965,7.571134803527312e-05,0.970811675329868,0.9194986072423398,0.9986937185739106,0.9880218781882442
36,0.6813149922950701,0.6642262652516365,0.7881008879891758,-0.004614925519986657,-0.005519457161426544,-0.0035326172565591785,7.431870425229426e-05,0.9717113154738105,0.9207520891364902,0.9987627634422734,0.9879803329972522
37,0.6765603856606917,0.659332387149334,0.7852612692734291,-0.004754606634378433,-0.0048938781023025735,-0.0028396187157466724,7.290107793770403e-05,0.9721111555377849,0.9215877437325906,0.9988230393855458,0.9878684792418275
38,0.6716082971543074,0.6546772107481956,0.7828647658742708,-0.004952088506384289,-0.004655176401138328,-0.002396503399158312,7.145995598574516e-05,0.9724110355857657,0.9215877437325906,0.9988798646917841,0.9878032985992586
39,0.6673222700641914,0.6504842191934586,0.7810787805195513,-0.00428602709011594,-0.004192991554737069,-0.0017859853547195215,6.999684993433916e-05,0.9735105957616953,0.9221448467966574,0.9989282515017648,0.9877127092600776
40,0.6637237361547622,0.6464279592037201,0.779353092456686,-0.0035985339094292135,-0.004056259989738464,-0.001725688062865216,6.851329437969216e-05,0.9738104758096762,0.9224233983286908,0.9989730747318463,0.98760461412706
41,0.6608079119839452,0.6427646994590759,0.7777557578580133,-0.0029158241708170385,-0.0036632597446442094,-0.0015973345986727283,6.701084536671542e-05,0.9740103958416634,0.9224233983286908,0.9990125805316006,0.9874869265088224
42,0.6577357143502344,0.6393785208463669,0.7766748440676722,-0.003072197633710805,-0.0033861786127089566,-0.0010809137903411425,6.54910787569485e-05,0.9743102758896441,0.9229805013927577,0.9990506350370852,0.9873478536053941
43,0.6538433076983149,0.6363293185830117,0.7752419833479256,-0.0038924066519194778,-0.003049202263355255,-0.001432860719746576,6.395558857569889e-05,0.9748100759696121,0.9224233983286908,0.9990838717359638,0.9872663548854583
44,0.6516303365880792,0.6333628714084625,0.7740021039699686,-0.002212971110235662,-0.0029664471745491916,-0.0012398793779569983,6.240598534012943e-05,0.9754098360655737,0.9222841225626741,0.9991124265158626,0.9872118636233327
45,0.6487697748975321,0.630607521533966,0.7730011570042578,-0.0028605616905471587,-0.0027553498744964378,-0.0010009469657108472,6.0843894370048636e-05,0.975609756097561,0.9225626740947075,0.9991405642608326,0.9871018717606516
46,0.6464408297430385,0.6281767636537552,0.7729280467691093,-0.0023289451544935558,-0.0024307578802108543,-7.311023514844361e-05,5.927095408317198e-05,0.9764094362255098,0.9231197771587744,0.9991653172885431,0.9869574524028195
47,0.6447494807229801,0.6258398175239563,0.7720291820065729,-0.001691349020058408,-0.0023369461297988448,-0.0008988647625364221,5.768881427665216e-05,0.9764094362255098,0.9225626740947075,0.9991859971453856,0.9868941504262096
48,0.6422049208459529,0.6236589223146438,0.7719532107484752,-0.002544559877027175,-0.0021808952093125278,-7.597125809766236e-05,5.609913439666693e-05,0.9768092762894842,0.9224233983286908,0.9992072701525179,0.9867635749867184
49,0.6403908824378793,0.6215511843562126,0.7709839796197826,-0.0018140384080735927,-0.0021077379584312217,-0.000969231128692627,5.450358179788985e-05,0.9770091963214714,0.9227019498607242,0.9992254858903906,0.9867001402385495
50,0.6385641600936651,0.6196609452366829,0.7713608248480435,-0.0018267223442142155,-0.0018902391195296797,0.0003768452282608692,5.29038299946655e-05,0.9773090763694522,0.9224233983286908,0.9992440110682826,0.9865898623936253
51,0.6370548455213959,0.6178775250911712,0.770603031947695,-0.0015093145722692158,-0.0017834201455116938,-0.0007577929003484973,5.130155690572404e-05,0.9772091163534586,0.9222841225626741,0.9992591082891127,0.986514305584796
52,0.6354502915320072,0.6162676453590393,0.7703124243637611,-0.0016045539893887462,-0.0016098797321318914,-0.000290607583933844,4.9698443094276444e-05,0.9777089164334266,0.9221448467966574,0.9992737189256796,0.9864616535114715
53,0.6336982160467993,0.6146533995866775,0.770179388851955,-0.001752075485207838,-0.0016142457723617998,-0.00013303551180610107,4.809617000533509e-05,0.9777089164334266,0.9215877437325906,0.9992873338220066,0.9863285671011701
54,0.6327303514223207,0.6132438972592353,0.7702566426375816,-0.0009678646244786204,-0.0014095023274421914,7.725378562661867e-05,4.649641820211075e-05,0.9779088364654138,0.9218662952646239,0.9992988060916667,0.9862707400444685
55,0.6309776182540439,0.6118714213371277,0.7701006757801977,-0.0017527331682768432,-0.0013724759221076521,-0.000155966857383949,4.4900865603333674e-05,0.9783086765293882,0.9210306406685237,0.9993103845620604,0.9861991942321472
56,0.6298837803981521,0.6105977982282639,0.7700820955736883,-0.0010938378558917883,-0.0012736231088638084,-1.8580206509355435e-05,4.331118572334844e-05,0.9785085965613755,0.9214484679665739,0.9993225000487269,0.9861137391042826
57,0.6289320154623552,0.6093764111399651,0.7700592813820675,-0.0009517649357968505,-0.0012213870882987754,-2.2814191620867952e-05,4.172904591682864e-05,0.9784086365453818,0.9211699164345404,0.9993329611785065,0.9860409530779611
58,0.6276461614126508,0.6082867294549942,0.7700266776413753,-0.0012858540497043824,-0.0010896816849709223,-3.260374069213867e-05,4.015610562995209e-05,0.9787085165933627,0.920891364902507,0.9993414233807769,0.9859815091624318
59,0.6267826723104174,0.6072975441813468,0.7704106260990274,-0.000863489102233439,-0.0009891852736473306,0.0003839484576521057,3.859401465987063e-05,0.9790083966413434,0.920891364902507,0.9993508260856322,0.9859115568789186
60,0.625598909164017,0.6062891915440559,0.7704489457196203,-0.0011837631464004517,-0.0010083526372909324,3.831962059286376e-05,3.704441142430125e-05,0.9792083166733306,0.9206128133704735,0.9993591282392129,0.9858453385270202
61,0.625340302390131,0.6053693398833275,0.7704649177090875,-0.00025860677388589437,-0.000919851660728388,1.5971989467233882e-05,3.55089212430516e-05,0.9792083166733306,0.9200557103064066,0.9993666589205531,0.9857765000470938
62,0.6243138447065245,0.6044970795512199,0.770381236898488,-0.0010264576836065409,-0.0008722603321076328,-8.368081059950683e-05,3.3989154633284526e-05,0.9793082766893243,0.9197771587743733,0.9993733048253444,0.985730648026082
63,0.6238360071385448,0.6037032678723335,0.7701922552338962,-0.0004778375679796998,-0.0007938116788863692,-0.000188981664591803,3.2486705620307505e-05,0.9796081567373051,0.91991643454039,0.9993794550953878,0.9856734918647057
64,0.6221279010853984,0.6029900684952736,0.7707465023830019,-0.0017081060531464187,-0.0007131993770599365,0.00055424714910568,3.1003150065660224e-05,0.9800079968012795,0.9193593314763231,0.9993855149786484,0.9856136804250311
65,0.6224808945235881,0.6022845163941384,0.7706967263386167,0.0003529934381897304,-0.0007055521011352095,-4.977604438516359e-05,2.9540044014253988e-05,0.9800079968012795,0.9190807799442897,0.9993907684536177,0.9855828741153836
66,0.6216996093703941,0.6016631051898003,0.7709900860128731,-0.000781285153193978,-0.0006214112043381181,0.000293359674256366,2.8098922062295092e-05,0.9800079968012795,0.9190807799442897,0.999395919954017,0.9855197236832836
67,0.6210178289223801,0.6010919377207756,0.7707044646657747,-0.0006817804480140355,-0.000571167469024636,-0.00028562134709841924,2.6681295747704932e-05,0.9800079968012795,0.9185236768802229,0.9993997210981347,0.9854974769584626
68,0.6204100662673061,0.6005023419857025,0.7708614283594591,-0.0006077626550740067,-0.0005895957350731118,0.00015696369368445318,2.5288651964726007e-05,0.9799080367852859,0.9188022284122562,0.999404100735288,0.985453470899578
69,0.6202039903199131,0.599976421892643,0.7713557995598892,-0.00020607594739296964,-0.0005259200930595176,0.0004943712004300549,2.392245140437506e-05,0.9800079968012795,0.9185236768802229,0.999408204044016,0.9853895791921823
70,0.6192253010178154,0.5995100855827331,0.7713220653862789,-0.0009786893020977683,-0.00046633630990988717,-3.373417361030029e-05,2.2584127022379884e-05,0.9800079968012795,0.9183844011142062,0.9994119015372163,0.9853590892956101
71,0.6187773710963401,0.5990420550107955,0.7713166906915861,-0.000447929921475243,-0.00046803057193756104,-5.374694692750204e-06,2.127508253620661e-05,0.9801079568172731,0.9185236768802229,0.9994151139505804,0.9853092012658118
72,0.6181584742258895,0.5986003428697586,0.7711045392628374,-0.0006188968704505804,-0.0004417121410369429,-0.00021215142874875248,1.9996690952753864e-05,0.9801079568172731,0.9181058495821727,0.9994183413255714,0.9852870007279341
73,0.6179627117446878,0.5982160270214081,0.7712882592760283,-0.00019576248120178885,-0.0003843158483505249,0.00018372001319089115,1.875029312825837e-05,0.9803078768492604,0.9181058495821727,0.9994214509731041,0.9852423946155356
74,0.6177540863440796,0.5978606313467025,0.7714256808675569,-0.00020862540060817558,-0.0003553956747055498,0.00013742159152863032,1.7537196361921597e-05,0.9804078368652539,0.917966573816156,0.9994239846901277,0.9852144149176125
75,0.6175388223068281,0.5975243836641312,0.7713061612227867,-0.00021526403725147247,-0.0003362476825713445,-0.00011951964477019406,1.6358673024733693e-05,0.9805077968812475,0.9181058495821727,0.9994266317637032,0.985181764724826
76,0.6171496358107437,0.5971990346908569,0.7715067472951166,-0.0003891864960844371,-0.00032534897327429757,0.00020058607232986692,1.5215959224931569e-05,0.9805077968812475,0.9178272980501393,0.9994292261723091,0.9851416354722295
77,0.6166485646231608,0.5969027921557426,0.7716065213598055,-0.0005010711875829132,-0.00029624253511428833,9.97740646888623e-05,1.4110253511493197e-05,0.9805077968812475,0.9175487465181058,0.9994312606239362,0.9851108271681495
78,0.6167654791338877,0.5966444864869118,0.7716658259260243,0.00011691451072692871,-0.00025830566883078276,5.9304566218831845e-05,1.3042715617023768e-05,0.9805077968812475,0.9174094707520891,0.9994330624825662,0.9850834638774482
79,0.6166161049834706,0.5964114025235177,0.7718100321703943,-0.0001493741504170476,-0.00023308396339416504,0.0001442062443700598,1.2014465241357052e-05,0.9806077568972411,0.9174094707520891,0.9994347645028996,0.9850578670935923
80,0.6166019224646416,0.5961991146206855,0.7719514164431341,-1.4182518829009005e-05,-0.00021228790283212007,0.00014138427273979737,1.102658087714505e-05,0.9806077568972411,0.9175487465181058,0.9994361479427499,0.9850359399214218
