epoch,train_loss,val_loss,test_loss,train_delta,val_delta,test_delta,predictor_lr,val_acc,test_acc,val_auc,test_auc
1,2.1785871908068657,2.149870091676712,2.152674140601323,0.0,0.0,0.0,3.9999999999999996e-05,0.3281687325069972,0.31002785515320336,0.793455783923733,0.7868710730771868
2,2.1223721849647434,2.072771042585373,2.0793835212444436,-0.056215005842122245,-0.07709904909133902,-0.0732906193568792,6.999999999999993e-05,0.45461815273890444,0.5135097493036211,0.8892513453446568,0.8842829923432605
3,2.0382494682615455,1.9702447295188903,1.970732725899795,-0.08412271670319793,-0.10252631306648263,-0.1086507953446485,0.0001,0.5523790483806478,0.5998607242339833,0.9156450786305934,0.9199654884988703
4,1.9392362416467883,1.8664464861154557,1.8588755829580899,-0.0990132266147572,-0.10379824340343458,-0.11185714294170523,9.997404066775285e-05,0.6136545381847262,0.6536211699164345,0.9281338526810075,0.9385214803934638
5,1.8524519824846224,1.7775573194026948,1.7627201943561948,-0.08678425916216592,-0.08888916671276093,-0.0961553886018951,9.989618989876661e-05,0.6531387445021991,0.7155988857938719,0.9371096064304906,0.9512168086615351
6,1.777857802469622,1.7007909625768662,1.6789375749127617,-0.07459418001500029,-0.07676635682582855,-0.08378261944343302,9.976652934774728e-05,0.6843262694922031,0.7561281337047354,0.9440573636984583,0.9606417812097833
7,1.7137313254854896,1.6338448166847228,1.6055986346869633,-0.06412647698413254,-0.06694614589214343,-0.07333894022579845,9.958519501070808e-05,0.7073170731707317,0.7754874651810585,0.9492874687020146,0.9658729148012927
8,1.6578225940465927,1.574503991007805,1.541066420489344,-0.05590873143889685,-0.0593408256769179,-0.06453221419761923,9.935237708232756e-05,0.7270091963214714,0.7864902506963788,0.9537075947729254,0.9697591464965539
9,1.6099625666710464,1.5221434563398362,1.4844103311670238,-0.04786002737554629,-0.05236053466796875,-0.05665608932232025,9.906831975646277e-05,0.7428028788484606,0.7977715877437326,0.9573555671829319,0.9724975792901687
10,1.5653438720513473,1.474706494808197,1.4325485106172233,-0.04461869461969914,-0.04743696153163923,-0.051861820549800486,9.873332097002275e-05,0.7567972810875649,0.8110027855153203,0.9603708111361028,0.9742054428148452
11,1.527859149670059,1.431653505563736,1.3863507509231567,-0.037484722381288194,-0.04305298924446088,-0.04619775969406659,9.834773209047419e-05,0.7696921231507396,0.8200557103064067,0.9630988538967755,0.9762826446026089
12,1.4935926649380813,1.3924508273601532,1.3449477162854424,-0.0342664847319778,-0.03920267820358281,-0.04140303463771433,9.791195754730533e-05,0.7779888044782087,0.8292479108635098,0.9654664201288615,0.977435310755064
13,1.4621166752820665,1.3571164071559907,1.3064796924591064,-0.031475989656014836,-0.03533442020416255,-0.03846802382633596,9.74264544078354e-05,0.7911835265893643,0.8445682451253482,0.9675083918211153,0.9784719704511785
14,1.4332710023630748,1.3252532541751862,1.2739392518997192,-0.02884567291899165,-0.03186315298080444,-0.03254044055938721,9.689173189781402e-05,0.7969812075169932,0.8518105849582173,0.9692117507234658,0.9789031662802457
15,1.4070314510979436,1.2946943491697311,1.2408603142047752,-0.026239551265131222,-0.030558905005455106,-0.03307893769494408,9.630835086731391e-05,0.8071771291483406,0.8625348189415042,0.9708080653540043,0.979462451152059
16,1.383714367381551,1.2674746662378311,1.2126320230549779,-0.023317083716392517,-0.027219682931900024,-0.028228291149797302,9.567692320247625e-05,0.8140743702518992,0.8697771587743732,0.972264434875193,0.9797798079806935
17,1.363080904903737,1.2424048155546188,1.1864221794851895,-0.02063346247781417,-0.025069850683212325,-0.026209843569788394,9.4998111183727e-05,0.8192722910835666,0.8768802228412256,0.9734682667300416,0.9800182696662526
18,1.3438695184886456,1.2190517842769624,1.1640252820376693,-0.019211386415091347,-0.023353031277656422,-0.02239689744752016,9.427262679113594e-05,0.82796881247501,0.8863509749303621,0.9746804136702626,0.9802241453608145
19,1.3250202126801014,1.1973215073347092,1.1410256089835331,-0.01884930580854416,-0.021730276942253157,-0.022999673054136194,9.350123095764832e-05,0.8325669732107157,0.8912256267409471,0.9757435783698148,0.9805026485441939
20,1.3098737861622463,1.1773130029439927,1.1207928945278298,-0.015146426517855138,-0.020008504390716553,-0.020232714455703293,9.268473277097031e-05,0.8355657736905238,0.8949860724233983,0.9767535852094369,0.980722166746291
21,1.2931708872995593,1.159184291958809,1.1022749481530025,-0.016702898862686943,-0.01812871098518376,-0.018517946374827288,9.18239886249488e-05,0.8393642542982807,0.8988857938718663,0.9776453312004436,0.9810457363939804
22,1.2805058488791639,1.141943448781967,1.0856276133964802,-0.012665038420395458,-0.017240843176841825,-0.01664733475652236,9.09199013213318e-05,0.8438624550179928,0.901949860724234,0.9784611978419898,0.9812390273838493
23,1.2671969058838757,1.126035937666893,1.0698635454835563,-0.013308942995288175,-0.015907511115074158,-0.01576406791292384,8.997341912285438e-05,0.847860855657737,0.9050139275766017,0.9792595307520757,0.9815397605394135
24,1.2549267726188356,1.1117349833250045,1.0558863467183606,-0.012270133265040117,-0.014300954341888383,-0.013977198765195764,8.898553475864235e-05,0.8491603358656538,0.9069637883008357,0.9799766997617678,0.9817484269452065
25,1.2451883300461553,1.0977466315031053,1.0425197995942215,-0.009738442572680306,-0.01398835182189928,-0.013366547124139094,8.795728438297576e-05,0.8520591763294683,0.9100278551532034,0.9806599097931132,0.982055685739857
26,1.2341835292225534,1.0846681892871857,1.0298732046423287,-0.01100480082360189,-0.013078442215919583,-0.012646594951892798,8.688974648850607e-05,0.8551579368252699,0.9112813370473538,0.9813199499183382,0.9823179173300027
27,1.224982908164913,1.072522234916687,1.0187898381003018,-0.009200621057640301,-0.012145954370498702,-0.011083366542026907,8.578404077506775e-05,0.8575569772091164,0.9128133704735376,0.9818978062956282,0.9825010129662056
28,1.2161891182715243,1.0610740274190902,1.0081835039730729,-0.008793789893388748,-0.011448207497596785,-0.010606334127228889,8.464132697526578e-05,0.8599560175929628,0.9142061281337047,0.982461360476707,0.9827383006507416
29,1.205225587229837,1.0508986085653305,0.9989961920113399,-0.010963531041687347,-0.010175418853759721,-0.009187311961732947,8.346280363807771e-05,0.8618552578968413,0.9149025069637883,0.98297442619567,0.9829385919331407
30,1.1992187130857597,1.0410329833626748,0.9893082298081497,-0.006006874144077301,-0.009865625202655659,-0.009687962203190237,8.224970687174083e-05,0.8642542982806877,0.9167130919220056,0.9834474534001143,0.9831197153398181
31,1.1920336559414864,1.0319977164268495,0.9811029927483921,-0.00718505714427331,-0.009035266935825348,-0.00820523705975762,8.100330904724528e-05,0.866453418632547,0.9174094707520891,0.9838769090370475,0.9833479523192453
32,1.1838160844689065,1.0230905771255494,0.973122263776845,-0.008217571472579843,-0.008907139301300049,-0.007980728971547113,7.972491746379248e-05,0.8680527788884447,0.9188022284122562,0.9842906495981271,0.9834982165433824
33,1.179424804381349,1.0150535270571708,0.9656810431644834,-0.004391280087557625,-0.008037050068378626,-0.007441220612361521,7.841587297761924e-05,0.8691523390643743,0.9190807799442897,0.9846922845147199,0.9836772573159744
34,1.1751596423035318,1.0072379365563393,0.9588061920527754,-0.004265162077817131,-0.00781559050083147,-0.006874851111708047,7.707754859562416e-05,0.8696521391443423,0.9197771587743733,0.9850782381086527,0.9838687994436204
35,1.1663551780987869,1.0000991508364678,0.9529394260768232,-0.0088044642047449,-0.007138785719871477,-0.0058667659759521484,7.571134803527312e-05,0.8714514194322271,0.9201949860724234,0.9854414365706562,0.9840268365184011
36,1.1624074439433487,0.9935985133051872,0.9461977481842041,-0.003947734155438143,-0.006500637531280606,-0.006741677892619147,7.431870425229426e-05,0.8740503798480608,0.9218662952646239,0.9857147962373036,0.9842118876139035
37,1.1563923717899756,0.9870095744729042,0.9413803898054978,-0.006015072153373158,-0.006588938832283064,-0.004817358378706338,7.290107793770403e-05,0.8749500199920032,0.9224233983286908,0.9860327221382141,0.9843011133570272
38,1.1545750559730963,0.980857928097248,0.9367186118816507,-0.0018173158168792725,-0.006151646375656128,-0.0046617779238470325,7.145995598574516e-05,0.8760495801679328,0.922841225626741,0.9863204048693398,0.9843308887497455
39,1.147447556257248,0.9752912223339081,0.9318538020397055,-0.007127499715848362,-0.005566705763339952,-0.004864809841945261,6.999684993433916e-05,0.8751499400239904,0.9229805013927577,0.9865858528671156,0.9844200900580675
40,1.1443334191360257,0.9695596322417259,0.9264807146171044,-0.0031141371212222158,-0.005731590092182159,-0.005373087422601119,6.851329437969216e-05,0.8779488204718113,0.923259052924791,0.986849857794401,0.9845671456242504
41,1.1407638161697171,0.9647560253739357,0.923080286075329,-0.0035696029663085938,-0.004803606867790244,-0.0034004285417753577,6.701084536671542e-05,0.8789484206317473,0.922841225626741,0.9870897297380004,0.9846050177721781
42,1.136009955270724,0.9596182182431221,0.918334346393059,-0.004753860898993212,-0.005137807130813576,-0.004745939682269995,6.54910787569485e-05,0.8802479008396641,0.9238161559888579,0.9873357365342981,0.9847565842107575
43,1.133105056868358,0.955365689098835,0.915313208925313,-0.002904898402365852,-0.004252529144287087,-0.0030211374677460157,6.395558857569889e-05,0.8800479808076769,0.9242339832869081,0.9875460805953128,0.9848262550960776
