epoch,train_loss,val_loss,test_loss,train_delta,val_delta,test_delta,predictor_lr,val_acc,test_acc,val_auc,test_auc
1,2.1798753142356873,2.1530081629753113,2.1615441749835838,0.0,0.0,0.0,3.9999999999999996e-05,0.3243702518992403,0.318941504178273,0.7595455045697929,0.7587476082695545
2,2.1264116499911654,2.0833436191082,2.0914234292918237,-0.05346366424452187,-0.0696645438671113,-0.07012074569176008,6.999999999999993e-05,0.4529188324670132,0.5079387186629526,0.8802935548727775,0.890340063534972
3,2.0487473041496496,1.990835651755333,1.9919080693146278,-0.07766434584151582,-0.09250796735286704,-0.09951535997719585,0.0001,0.5524790083966413,0.5793871866295265,0.9081316042125245,0.9219978897984945
4,1.95885512300513,1.8965870678424834,1.8893905631427108,-0.08989218114451947,-0.09424858391284952,-0.10251750617191702,9.997404066775285e-05,0.5934626149540184,0.61016713091922,0.9207531297678087,0.9373310054017561
5,1.8801349001851948,1.8154926866292953,1.8008764118983829,-0.07872022281993529,-0.08109438121318813,-0.08851415124432793,9.989618989876661e-05,0.6104558176729308,0.6307799442896936,0.9290434128493738,0.9466404908225962
6,1.8126713061197237,1.744598212838173,1.7224934923237767,-0.06746359406547109,-0.07089447379112235,-0.07838291957460619,9.976652934774728e-05,0.6283486605357856,0.6729805013927577,0.936168229827811,0.9550835305700782
