epoch,train_loss,val_loss,test_loss,train_delta,val_delta,test_delta,predictor_lr,val_acc,test_acc,val_auc,test_auc
1,2.17681174589829,2.1606076061725616,2.1560000057878166,0.0,0.0,0.0,3.9999999999999996e-05,0.21991203518592564,0.3112813370473538,0.7455657584437169,0.7957102859533833
2,2.089848365296017,2.114517426490784,2.1015607077499916,-0.08696338060227315,-0.046090179681777865,-0.05443929803782499,6.999999999999993e-05,0.3479608156737305,0.35821727019498606,0.8409638163581884,0.8598887016296635
3,1.9690118218687447,2.057764250040054,2.0294074354500604,-0.12083654342727224,-0.05675317645072964,-0.07215327229993118,0.0001,0.26119552179128347,0.2805013927576602,0.8699619522639699,0.8766033629326466
4,1.8344653993844986,2.00738525390625,1.9679060064513108,-0.1345464224842461,-0.050378996133804144,-0.06150142899874966,9.997404066775285e-05,0.22960815673730509,0.26002785515320337,0.8815624278340306,0.8795884037007787
5,1.7211036658422514,1.968871933221817,1.9246460569315944,-0.11336173354224721,-0.03851332068443303,-0.043259949519716345,9.989618989876661e-05,0.2297081167532987,0.2572423398328691,0.8871735926895021,0.8801693383562085
6,1.6299963800067252,1.938976874947548,1.8920622570761318,-0.09110728583552619,-0.02989505827426897,-0.03258379985546256,9.976652934774728e-05,0.23780487804878048,0.2586350974930362,0.8906540249511381,0.8806168884313078
7,1.5555303550579331,1.913930642604828,1.8656595369865154,-0.07446602494879206,-0.025046232342720076,-0.026402720089616416,9.958519501070808e-05,0.249500199920032,0.2626740947075209,0.893510433359644,0.882014312933711
