epoch,train_loss,val_loss,test_loss,train_delta,val_delta,test_delta,predictor_lr,val_acc,test_acc,val_auc,test_auc
1,2.1825432255864143,2.1505856037139894,2.16858197902811,0.0,0.0,0.0,3.9999999999999996e-05,0.21571371451419433,0.18983286908077995,0.822036053619222,0.7790749317989779
2,2.100507618351416,2.045345836877823,2.0743330100487016,-0.08203560723499814,-0.10523976683616665,-0.09424896897940815,6.999999999999993e-05,0.5781687325069972,0.5597493036211699,0.9433167531976889,0.9146551946310362
3,1.9734624573452906,1.902830144762993,1.941060210096425,-0.12704516100612562,-0.14251569211482984,-0.1332727999522767,0.0001,0.6667333066773291,0.6527855153203342,0.960858087691745,0.9345662526531966
4,1.8237400278449059,1.7590421319007874,1.8041684504213005,-0.14972242950038472,-0.14378801286220555,-0.13689175967512446,9.997404066775285e-05,0.7388044782087165,0.7371866295264624,0.9690101188591032,0.944285761346574
5,1.6891277550973676,1.6357716143131256,1.6878008924681565,-0.1346122727475383,-0.12327051758766183,-0.11636755795314402,9.989618989876661e-05,0.799780087964814,0.795125348189415,0.9744036284325728,0.9518541022755795
6,1.5735862515866756,1.5291487276554108,1.5851979584529483,-0.11554150351069192,-0.1066228866577148,-0.10260293401520815,9.976652934774728e-05,0.845061975209916,0.8239554317548746,0.9784483866661353,0.958662416364858
7,1.4732292480766773,1.4361132949590683,1.4966128530173466,-0.10035700350999832,-0.09303543269634251,-0.08858510543560172,9.958519501070808e-05,0.8773490603758497,0.8452646239554318,0.981623988489789,0.9645740192665291
8,1.3863485733216458,1.3541837841272355,1.4176352805104748,-0.08688067475503147,-0.08192951083183275,-0.07897757250687176,9.935237708232756e-05,0.8945421831267493,0.8590529247910863,0.9842399662794771,0.9697889744850922
9,1.3091848069293932,1.2817261040210723,1.3474244660344616,-0.07716376639225264,-0.07245768010616316,-0.07021081447601318,9.906831975646277e-05,0.9073370651739304,0.8665738161559888,0.9863482339887236,0.9738825326569819
10,1.2412570339034905,1.217428955435753,1.2845411382872483,-0.0679277730259027,-0.06429714858531943,-0.06288332774721339,9.873332097002275e-05,0.9151339464214314,0.8749303621169916,0.9880815128901954,0.9775505559741655
11,1.180567867037925,1.1601119488477707,1.2279195004496082,-0.06068916686556558,-0.05731700658798222,-0.05662163783764007,9.834773209047419e-05,0.9211315473810476,0.879108635097493,0.9895685981752962,0.9809416959422883
12,1.1271587921814485,1.1084457814693451,1.1785036736521228,-0.05340907485647639,-0.051666167378425554,-0.04941582679748535,9.791195754730533e-05,0.9271291483406637,0.8820334261838441,0.990809988777505,0.9836680964048173
13,1.0796261003071612,1.0622338250279426,1.1337018917346824,-0.047532691874287325,-0.046211956441402524,-0.04480178191744044,9.74264544078354e-05,0.9324270291883247,0.8841225626740947,0.9918503934249485,0.9854135947102011
14,1.037031388926235,1.0211615517735482,1.0941523519055596,-0.04259471138092619,-0.04107227325439444,-0.03954953982912279,9.689173189781402e-05,0.9367253098760496,0.8881615598885794,0.9927610505854406,0.9866254134920011
15,0.9988177408548918,0.9835747048258782,1.0579232964022407,-0.0382136480713432,-0.037586846947670005,-0.0362290555033189,9.630835086731391e-05,0.9393242702918833,0.8889972144846797,0.9935058925895512,0.9874222334478218
16,0.9637489632110704,0.9500023528933526,1.0258539092951808,-0.035068777643821436,-0.03357235193252561,-0.032069387107059866,9.567692320247625e-05,0.9420231907237105,0.8903899721448468,0.9941555135819501,0.9878303938207846
17,0.9334901098839261,0.9194881081581116,0.9975009498925045,-0.030258853327144286,-0.030514244735241003,-0.028352959402676348,9.4998111183727e-05,0.9452219112355058,0.8933147632311977,0.9947551262463872,0.9880575491417622
18,0.9058229073204778,0.8918943613767624,0.9721982725735369,-0.027667202563448345,-0.027593746781349182,-0.025302677318967626,9.427262679113594e-05,0.9482207117153139,0.8942896935933148,0.9952411525221225,0.9882758614522857
19,0.8807684755460783,0.8669744402170181,0.9491891922621891,-0.025054431774399477,-0.024919921159744285,-0.02300908031134774,9.350123095764832e-05,0.9499200319872051,0.897075208913649,0.9956781766118156,0.9883621533246685
20,0.858527497811751,0.844467906653881,0.9288842780836697,-0.022240977734327316,-0.022506533563137032,-0.02030491417851943,9.268473277097031e-05,0.952219112355058,0.8981894150417827,0.9960471927760324,0.9884114119501928
21,0.8378504744984887,0.8239859968423844,0.9103676409556948,-0.020677023313262266,-0.020481909811496668,-0.01851663712797491,9.18239886249488e-05,0.9534186325469812,0.9011142061281338,0.9963982369105265,0.9884053288664931
