epoch,train_loss,val_loss,test_loss,train_delta,val_delta,test_delta,predictor_lr,val_acc,test_acc,val_auc,test_auc
1,2.177607112987475,2.174005091190338,2.160048690335504,0.0,0.0,0.0,3.9999999999999996e-05,0.28058776489404236,0.400974930362117,0.7056796919683751,0.7703968603529816
2,2.1108000163327563,2.133847099542618,2.1121386248489906,-0.06680709665471873,-0.04015799164772016,-0.04791006548651344,6.999999999999993e-05,0.34106357457017195,0.4306406685236769,0.8186805108599897,0.8750490984776422
3,2.024345983835784,2.0851259589195252,2.0432088457304856,-0.08645403249697248,-0.04872114062309274,-0.06892977911850506,0.0001,0.28588564574170333,0.32493036211699167,0.8474560429088037,0.8844580191613195
4,1.9324598227712242,2.0397534281015397,1.9785397176084847,-0.0918861610645596,-0.045372530817985535,-0.06466912812200087,9.997404066775285e-05,0.2541983206717313,0.30055710306406686,0.859133314372543,0.887433976745623
5,1.8565937294201418,2.002723103761673,1.9275205217558762,-0.07586609335108241,-0.03703032433986664,-0.0510191958526085,9.989618989876661e-05,0.2499000399840064,0.29637883008356547,0.8653864198487944,0.8868032912060254
6,1.7943517504767938,1.971181184053421,1.8869965651939655,-0.06224197894334793,-0.03154191970825204,-0.04052395656191066,9.976652934774728e-05,0.2524990003998401,0.29693593314763234,0.8699562540818001,0.8899374560552784
