epoch,train_loss,val_loss,train_delta,val_delta,train_acc,val_acc,train_auc,val_auc,predictor_lr
1,1.2483972429551862,0.8439825668931007,0.0,0.0,0.6690075114449531,0.8677528988404638,0.9363154826588461,0.9899947881431527,3.9999999999999996e-05
2,0.880017373372208,0.8108608588576317,-0.3683798695829782,-0.03312170803546899,0.8395706475843371,0.88984406237505,0.9822886107683816,0.9930237145673682,6.999999999999993e-05
3,0.8052890002727509,0.7481914609670639,-0.07472837309945712,-0.0626693978905678,0.8730943597493221,0.9170331867253099,0.987892576995319,0.9956423443957573,0.0001
4,0.7605794361707839,0.7071908846497535,-0.044709564101966914,-0.041000576317310355,0.8926618960842704,0.9375249900039984,0.990864905686792,0.996798066071107,9.997404066775285e-05
5,0.7292492172934792,0.6717377692461014,-0.031330218877304694,-0.03545311540365215,0.9064402862349438,0.9526189524190324,0.99273654597099,0.9975323371923628,9.989618989876661e-05
6,0.7062130622904409,0.6968105599284172,-0.02303615500303835,0.025072790682315826,0.9169629761322725,0.9352259096361455,0.9939846951012795,0.9969302040271018,9.976652934774728e-05
7,0.6869827195663344,0.6897054016590118,-0.01923034272410651,-0.007105158269405387,0.9246744299746655,0.9378248700519792,0.9948310726439884,0.9970837124770776,9.958519501070808e-05
8,0.6730965279381383,0.6652845248579979,-0.013886191628196043,-0.024420876801013902,0.9302524556646962,0.9470211915233906,0.9955766786208655,0.9976007657333006,9.935237708232756e-05
9,0.6616086754947901,0.6468892708420754,-0.011487852443348268,-0.01839525401592257,0.9346304280190231,0.9561175529788085,0.9960361479823866,0.9980491785342791,9.906831975646277e-05
10,0.6507931559939276,0.6488486871123313,-0.010815519500862458,0.001959416270255976,0.9387306102493445,0.958016793282687,0.9964262276860567,0.9977181984214933,9.873332097002275e-05
11,0.6428910487077453,0.6509528592228889,-0.007902107286182347,0.0021041721105575784,0.9418640828481266,0.954718112754898,0.9967605101952858,0.9974806697535175,9.834773209047419e-05
12,0.6354900591752746,0.6346408739686012,-0.007400989532470703,-0.016311985254287675,0.9449642206320281,0.9614154338264694,0.9970875649350821,0.9980060932328614,9.791195754730533e-05
13,0.6303779211911288,0.6446186885237694,-0.0051121379841457815,0.009977814555168107,0.9459531534734877,0.9591163534586166,0.997259900792025,0.9980263972964407,9.74264544078354e-05
14,0.625524966892871,0.6380874827504158,-0.004852954298257828,-0.006531205773353532,0.9484754877994578,0.9599160335865654,0.9973724028965099,0.9980896473765846,9.689173189781402e-05
15,0.6213484032248909,0.6469149619340897,-0.004176563667980027,0.00882747918367388,0.9500311124938886,0.9535185925629748,0.99753351975656,0.9976826864015546,9.630835086731391e-05
16,0.6154128766872666,0.639310659468174,-0.005935526537624303,-0.007604302465915702,0.952520112004978,0.9550179928028788,0.9977506608533377,0.997774170298864,9.567692320247625e-05
17,0.612779386002909,0.6572033941745759,-0.0026334906843575867,0.017892734706401847,0.9536979421307614,0.955217912834866,0.9977879475700697,0.9975511347200167,9.4998111183727e-05
18,0.6101712929931554,0.6766763910651207,-0.0026080930097536204,0.019472996890544825,0.954186852749011,0.9447221111555378,0.9979032590026412,0.9969126019914404,9.427262679113594e-05
19,0.6055113893340934,0.6368950277566909,-0.0046599036590619924,-0.03978136330842974,0.9565425130005778,0.9592163134746101,0.9980017982528909,0.9980107422083476,9.350123095764832e-05
20,0.6024064470759847,0.6325885698199272,-0.003104942258108756,-0.004306457936763763,0.957609227076759,0.9588164734106357,0.9981350014989149,0.9981618986673853,9.268473277097031e-05
21,0.5988976752216165,0.6462631434202194,-0.0035087718543681534,0.013674573600292228,0.9584759322636561,0.954718112754898,0.9982687375213328,0.9976819830989094,9.18239886249488e-05
22,0.5977973162450574,0.6467766642570496,-0.0011003589765591348,0.0005135208368302058,0.9594426418951953,0.9554178328668532,0.9982597407560346,0.9977003621437256,9.09199013213318e-05
23,0.5950411305847493,0.6228393092751503,-0.002756185660308108,-0.023937354981899306,0.9599426641184052,0.9634146341463414,0.9983699071145136,0.9980798040183101,8.997341912285438e-05
24,0.5914321628145196,0.63910563737154,-0.0036089677702296763,0.016266328096389726,0.9624983332592559,0.9543182726909236,0.9983981463360784,0.9980938223759392,8.898553475864235e-05
25,0.5911837916143916,0.6248091101646424,-0.00024837120012799474,-0.014296527206897669,0.9616538512822792,0.962514994002399,0.9984162197779115,0.9982643213254396,8.795728438297576e-05
26,0.5863050826909867,0.6434460550546646,-0.0048787089234049175,0.01863694489002221,0.963609493755278,0.9554178328668532,0.9985939775396258,0.9980425841900872,8.688974648850607e-05
27,0.5862532149661671,0.6632624372839928,-5.1867724819576466e-05,0.019816382229328244,0.9639539535090449,0.9446221511395442,0.99859659545345,0.9976184492265205,8.578404077506775e-05
28,0.5836647240953012,0.6417040944099426,-0.0025884908708658783,-0.02155834287405023,0.9653095693141918,0.9540183926429429,0.9986671335447631,0.9981342648722724,8.464132697526578e-05
29,0.5821633752096783,0.6537333115935325,-0.0015013488856229218,0.012029217183589958,0.9652317880794702,0.9497201119552179,0.9987200863318922,0.9976780291033598,8.346280363807771e-05
30,0.5802006533538754,0.6487592816352844,-0.001962721855802929,-0.004974029958248138,0.9660207120316459,0.9529188324670131,0.9987960039309063,0.997935827949756,8.224970687174083e-05
31,0.5802015696059574,0.6637936800718307,9.162520819838704e-07,0.015034398436546303,0.9661096048713276,0.9458216713314674,0.9986963632145714,0.997277325712376,8.100330904724528e-05
32,0.5771955698728561,0.654301704466343,-0.003005999733101228,-0.009491975605487757,0.9671985421574292,0.9498200719712115,0.9988813733569718,0.9975461236121634,7.972491746379248e-05
33,0.5766788594086062,0.6435944736003876,-0.0005167104642499476,-0.010707230865955375,0.9670318680830259,0.953218712514994,0.998851726551634,0.9976421881729427,7.841587297761924e-05
34,0.5760347350415859,0.6414532423019409,-0.0006441243670203267,-0.0021412312984466775,0.9673652162318326,0.9512195121951219,0.998817001196596,0.9976159742415669,7.707754859562416e-05
35,0.5748850445855748,0.6383383825421334,-0.0011496904560110988,-0.00311485975980752,0.9681208053691275,0.9566173530587765,0.9988789823091816,0.9977897150302826,7.571134803527312e-05
36,0.5723492482846434,0.6314324960112572,-0.00253579630093137,-0.006905886530876204,0.9696208720387572,0.9584166333466614,0.9989837182212035,0.9982470880506398,7.431870425229426e-05
37,0.5710063771429387,0.6278819784522056,-0.0013428711417047268,-0.003550517559051558,0.9697319880883595,0.9612155137944822,0.999032096831058,0.9984707594700372,7.290107793770403e-05
38,0.5714176844128154,0.6497902646660805,0.00041130726987670396,0.02190828621387486,0.969154184630428,0.9528188724510196,0.9989886361423745,0.9976223228510958,7.145995598574516e-05
39,0.5686214175075293,0.6439069524407387,-0.0027962669052861155,-0.005883312225341775,0.9704097959909329,0.955217912834866,0.9990618678984818,0.9978267146352279,6.999684993433916e-05
40,0.5672109313309193,0.6416622087359428,-0.001410486176609993,-0.002244743704795882,0.9718876394506423,0.955217912834866,0.999056954966159,0.9977679160431886,6.851329437969216e-05
41,0.5671147798950021,0.6386764496564865,-9.61514359171245e-05,-0.002985759079456307,0.9713987288323925,0.9558176729308276,0.9990543238594248,0.9977824293767027,6.701084536671542e-05
