epoch,train_loss,val_loss,train_delta,val_delta,train_acc,val_acc,train_auc,val_auc,predictor_lr
1,1.4055466360666535,1.3797348499298097,0.0,0.0,0.5854593537490556,0.639344262295082,0.9041455377680487,0.9447364207152459,3.9999999999999996e-05
2,1.0478615884415128,1.4928844302892685,-0.35768504762514075,0.11314958035945888,0.7538779501311169,0.6181527389044382,0.9628011349924217,0.9215859260069776,6.999999999999993e-05
3,0.9559612297876314,1.5224826067686081,-0.09190035865388135,0.0295981764793396,0.7978687941686298,0.6186525389844062,0.9736477481292383,0.9212661262354965,0.0001
4,0.8948076220059936,1.5317685425281524,-0.06115360778163781,0.009285935759544284,0.8265256233610383,0.6438424630147941,0.9796029460309017,0.9185277387370842,9.997404066775285e-05
5,0.8490109289572998,1.570193839073181,-0.045796693048693826,0.038425296545028687,0.8489266189608426,0.6251499400239904,0.9838579714802516,0.9164971836975082,9.989618989876661e-05
6,0.8227884881198406,1.5046137750148774,-0.02622244083745917,-0.06558006405830374,0.8590604026845637,0.645641743302679,0.9858886161441842,0.92630310246619,9.976652934774728e-05
7,0.8006547662344846,1.4755534768104552,-0.022133721885356006,-0.02906029820442213,0.8704053513489488,0.646141543382647,0.987434038699925,0.9263513002854897,9.958519501070808e-05
8,0.7796617443249985,1.5150662660598755,-0.020993021909486154,0.039512789249420255,0.880339126183386,0.6207516993202719,0.9890617134798156,0.9251407261002869,9.935237708232756e-05
9,0.766457031734965,1.4374897181987762,-0.013204712590033418,-0.07757654786109924,0.8851060047113205,0.6468412634946021,0.9898846848600813,0.932767864012215,9.906831975646277e-05
10,0.7523282227868383,1.4279121816158296,-0.014128808948126736,-0.009577536582946689,0.8911951642295213,0.6485405837664934,0.9909214535639457,0.9324568811670856,9.873332097002275e-05
11,0.740667683665048,1.4325896769762039,-0.011660539121790325,0.0046774953603743175,0.8966509622649895,0.6388444622151139,0.9916092186178774,0.931361646645392,9.834773209047419e-05
12,0.732598134570501,1.4114392548799515,-0.008069549094546935,-0.021150422096252397,0.8996733188141696,0.642842862854858,0.9920646419019558,0.939962850707999,9.791195754730533e-05
13,0.7224332497201182,1.4852091699838639,-0.010164884850382805,0.0737699151039124,0.9046513178363483,0.6199520191923231,0.9926555190426885,0.9314629643131832,9.74264544078354e-05
14,0.7182311082089489,1.4624794185161591,-0.004202141511169377,-0.02272975146770473,0.9071847637672785,0.6146541383446621,0.9928183447667401,0.932134205085495,9.689173189781402e-05
15,0.708387828008695,1.4549559593200683,-0.009843280200253823,-0.007523459196090876,0.9100737810569358,0.630547780887645,0.9934070275996858,0.931751617445544,9.630835086731391e-05
